pair,period,return_type,median_delta_cagr,median_delta_sharpe,median_delta_mdd,median_delta_turnover,better_cagr_phases,better_sharpe_phases,better_mdd_phases,n_phases
KOSPI_ALL_PER,BULL_2025,GROSS,0.0838825707428612,0.14721723835772105,-0.005429521861500197,1.4415587967341084,9,9,0,10
KOSPI_ALL_PER,BULL_2025,NET30,0.0746574642693476,0.127261521481284,-0.005424959441877986,1.4415587967341084,9,9,0,10
KOSPI_ALL_PER,BULL_2025,NET60,0.06565797781505656,0.10975093673950842,-0.005621305134651922,1.4415587967341084,9,8,0,10
KOSPI_ALL_PER,EARLY_2016_2019,GROSS,-0.010300847009298009,-0.06519871630393793,0.031262635902335134,1.701752916397719,0,0,10,10
KOSPI_ALL_PER,EARLY_2016_2019,NET30,-0.015416372379532362,-0.09796623925902619,0.02381415021819694,1.701752916397719,0,0,10,10
KOSPI_ALL_PER,EARLY_2016_2019,NET60,-0.020370283689335633,-0.1305425133175565,0.014521244065960448,1.701752916397719,0,0,7,10
KOSPI_ALL_PER,FULL_2016_2026,GROSS,0.012256016562256944,0.04437618607354826,0.02825575732292418,1.6558540830080308,9,9,10,10
KOSPI_ALL_PER,FULL_2016_2026,NET30,0.00658938182435731,0.022718359424509726,0.021590046129720264,1.6558540830080308,9,8,10,10
KOSPI_ALL_PER,FULL_2016_2026,NET60,0.0010716447678469354,0.0009920348333206097,0.01633197932984276,1.6558540830080308,5,5,9,10
KOSPI_ALL_PER,LATE_2020_2022,GROSS,0.022373028155913466,0.07984837275898848,0.008867401034152678,1.4250718286368182,10,10,8,10
KOSPI_ALL_PER,LATE_2020_2022,NET30,0.01790377466222881,0.06496504700314626,0.008554195613255378,1.4250718286368182,9,9,8,10
KOSPI_ALL_PER,LATE_2020_2022,NET60,0.013548250993691946,0.05002718933379549,0.008325956793437284,1.4250718286368182,9,9,8,10
KOSPI_ALL_PER,NORMAL_2023_2024,GROSS,-0.0030711395691090937,-0.024011664887330586,0.0017371737442014035,1.8902025249309629,4,4,6,10
KOSPI_ALL_PER,NORMAL_2023_2024,NET30,-0.009110489030270896,-0.0514527031834654,0.001385519811069158,1.8902025249309629,2,1,6,10
KOSPI_ALL_PER,NORMAL_2023_2024,NET60,-0.014998139722972814,-0.07896329205854197,-0.0009936883203476854,1.8902025249309629,1,1,4,10
KOSPI_ALL_PER,PRE_STRESS_2016_2024,GROSS,0.0015705073042434625,0.009616876256385687,0.02825575732292418,1.633602272326975,5,5,10,10
KOSPI_ALL_PER,PRE_STRESS_2016_2024,NET30,-0.003577675172563244,-0.014189644891649117,0.021590046129720264,1.633602272326975,4,4,10,10
KOSPI_ALL_PER,PRE_STRESS_2016_2024,NET60,-0.00858188779429292,-0.03808306245642348,0.01633197932984276,1.633602272326975,2,2,9,10
KOSPI_ALL_PER,YTD_2026,GROSS,0.1520321967970849,0.21579314040896747,0.00044612624171719295,2.4647291477913473,10,10,5,10
KOSPI_ALL_PER,YTD_2026,NET30,0.13940208222682793,0.2007323245390858,0.0009657679912695172,2.4647291477913473,10,10,6,10
KOSPI_ALL_PER,YTD_2026,NET60,0.12714204230322623,0.18558816926361615,0.0015406938428543793,2.4647291477913473,10,10,8,10
MIXED_OPFY1,BULL_2025,GROSS,-0.06615071689942609,-0.07870745837783044,0.022801980404168642,0.4759183071745916,1,2,10,10
MIXED_OPFY1,BULL_2025,NET30,-0.06470901951772967,-0.0910927032493265,0.022380809623564535,0.4759183071745916,1,2,10,10
MIXED_OPFY1,BULL_2025,NET60,-0.06326541115786133,-0.10332028228283452,0.021962325988398368,0.4759183071745916,1,2,10,10
MIXED_OPFY1,EARLY_2016_2019,GROSS,0.007553782332898162,0.04595159382669378,0.0018728999816257086,0.15955321633966957,7,7,5,10
MIXED_OPFY1,EARLY_2016_2019,NET30,0.0065588068807995725,0.038428826572374675,0.005858395183373777,0.15955321633966957,7,7,7,10
MIXED_OPFY1,EARLY_2016_2019,NET60,0.0056282777112292015,0.030854178200226623,0.008181157985916232,0.15955321633966957,7,7,7,10
MIXED_OPFY1,FULL_2016_2026,GROSS,0.03181597177081019,0.11142961003288943,0.02647533665846008,0.26142294648401165,10,10,9,10
