date,variant,universe,strategy,factor,phase,gross_ret,turnover,rebalanced,missing_weight,net30_ret,net60_ret
2016-01-04,KOSPI_ALL_PER_BASE,KOSPI_ALL,PRIMARY8,PER12MF,0,0.0,1.0,1,0.0,-0.003,-0.006
2016-01-05,KOSPI_ALL_PER_BASE,KOSPI_ALL,PRIMARY8,PER12MF,0,0.01011,0.0,0,0.0,0.01011,0.01011
2016-01-05,KOSPI_ALL_PER_BASE,KOSPI_ALL,PRIMARY8,PER12MF,1,0.0,1.0,1,0.0,-0.003,-0.006
2016-01-06,KOSPI_ALL_PER_BASE,KOSPI_ALL,PRIMARY8,PER12MF,0,-0.0033543727910821,0.0,0,0.0,-0.0033543727910821,-0.0033543727910821
2016-01-06,KOSPI_ALL_PER_BASE,KOSPI_ALL,PRIMARY8,PER12MF,1,-0.0032149999999999,0.0,0,0.0,-0.0032149999999999,-0.0032149999999999
2016-01-06,KOSPI_ALL_PER_BASE,KOSPI_ALL,PRIMARY8,PER12MF,2,0.0,1.0,1,0.0,-0.003,-0.006
2016-01-07,KOSPI_ALL_PER_BASE,KOSPI_ALL,PRIMARY8,PER12MF,0,-0.0147691944135074,0.0,0,0.0,-0.0147691944135074,-0.0147691944135074
2016-01-07,KOSPI_ALL_PER_BASE,KOSPI_ALL,PRIMARY8,PER12MF,1,-0.0146786804576714,0.0,0,0.0,-0.0146786804576714,-0.0146786804576714
2016-01-07,KOSPI_ALL_PER_BASE,KOSPI_ALL,PRIMARY8,PER12MF,2,-0.01448,0.0,0,0.0,-0.01448,-0.01448
2016-01-07,KOSPI_ALL_PER_BASE,KOSPI_ALL,PRIMARY8,PER12MF,3,0.0,1.0,1,0.0,-0.003,-0.006
2016-01-08,KOSPI_ALL_PER_BASE,KOSPI_ALL,PRIMARY8,PER12MF,0,-0.0014188643242654,0.0,0,0.0,-0.0014188643242654,-0.0014188643242654
2016-01-08,KOSPI_ALL_PER_BASE,KOSPI_ALL,PRIMARY8,PER12MF,1,-0.0014202032333211,0.0,0,0.0,-0.0014202032333211,-0.0014202032333211
2016-01-08,KOSPI_ALL_PER_BASE,KOSPI_ALL,PRIMARY8,PER12MF,2,-0.0014520197459209,0.0,0,0.0,-0.0014520197459209,-0.0014520197459209
2016-01-08,KOSPI_ALL_PER_BASE,KOSPI_ALL,PRIMARY8,PER12MF,3,-0.00137,0.0,0,0.0,-0.0013699999999999,-0.0013699999999999
2016-01-08,KOSPI_ALL_PER_BASE,KOSPI_ALL,PRIMARY8,PER12MF,4,0.0,1.0,1,0.0,-0.003,-0.006
2016-01-11,KOSPI_ALL_PER_BASE,KOSPI_ALL,PRIMARY8,PER12MF,0,-0.0092812274647903,0.0,0,0.0,-0.0092812274647903,-0.0092812274647903
2016-01-11,KOSPI_ALL_PER_BASE,KOSPI_ALL,PRIMARY8,PER12MF,1,-0.0089731345474401,0.0,0,0.0,-0.00897313454744,-0.00897313454744
2016-01-11,KOSPI_ALL_PER_BASE,KOSPI_ALL,PRIMARY8,PER12MF,2,-0.0087887432558558,0.0,0,0.0,-0.0087887432558558,-0.0087887432558558
2016-01-11,KOSPI_ALL_PER_BASE,KOSPI_ALL,PRIMARY8,PER12MF,3,-0.008895986501507,0.0,0,0.0,-0.008895986501507,-0.008895986501507
2016-01-11,KOSPI_ALL_PER_BASE,KOSPI_ALL,PRIMARY8,PER12MF,4,-0.0103749999999999,0.0,0,0.0,-0.010375,-0.010375
2016-01-11,KOSPI_ALL_PER_BASE,KOSPI_ALL,PRIMARY8,PER12MF,5,0.0,1.0,1,0.0,-0.003,-0.006
2016-01-12,KOSPI_ALL_PER_BASE,KOSPI_ALL,PRIMARY8,PER12MF,0,-0.0067096151938092,0.0,0,0.0,-0.0067096151938093,-0.0067096151938093
2016-01-12,KOSPI_ALL_PER_BASE,KOSPI_ALL,PRIMARY8,PER12MF,1,-0.0065731851468038,0.0,0,0.0,-0.0065731851468039,-0.0065731851468039
2016-01-12,KOSPI_ALL_PER_BASE,KOSPI_ALL,PRIMARY8,PER12MF,2,-0.006596245654569,0.0,0,0.0,-0.006596245654569,-0.006596245654569
2016-01-12,KOSPI_ALL_PER_BASE,KOSPI_ALL,PRIMARY8,PER12MF,3,-0.0066771191928525,0.0,0,0.0,-0.0066771191928525,-0.0066771191928525
2016-01-12,KOSPI_ALL_PER_BASE,KOSPI_ALL,PRIMARY8,PER12MF,4,-0.0086153659214348,0.0,0,0.0,-0.0086153659214348,-0.0086153659214348
2016-01-12,KOSPI_ALL_PER_BASE,KOSPI_ALL,PRIMARY8,PER12MF,5,-0.008695,0.0,0,0.0,-0.008695,-0.008695
2016-01-12,KOSPI_ALL_PER_BASE,KOSPI_ALL,PRIMARY8,PER12MF,6,0.0,1.0,1,0.0,-0.003,-0.006
2016-01-13,KOSPI_ALL_PER_BASE,KOSPI_ALL,PRIMARY8,PER12MF,0,0.0195531115006945,0.0,0,0.0,0.0195531115006946,0.0195531115006946
2016-01-13,KOSPI_ALL_PER_BASE,KOSPI_ALL,PRIMARY8,PER12MF,1,0.0193323475860585,0.0,0,0.0,0.0193323475860585,0.0193323475860585
2016-01-13,KOSPI_ALL_PER_BASE,KOSPI_ALL,PRIMARY8,PER12MF,2,0.0193355647404977,0.0,0,0.0,0.0193355647404978,0.0193355647404978
2016-01-13,KOSPI_ALL_PER_BASE,KOSPI_ALL,PRIMARY8,PER12MF,3,0.0192648824854615,0.0,0,0.0,0.0192648824854615,0.0192648824854615
2016-01-13,KOSPI_ALL_PER_BASE,KOSPI_ALL,PRIMARY8,PER12MF,4,0.0187610337644527,0.0,0,0.0,0.0187610337644528,0.0187610337644528
2016-01-13,KOSPI_ALL_PER_BASE,KOSPI_ALL,PRIMARY8,PER12MF,5,0.018773023943186,0.0,0,0.0,0.018773023943186,0.018773023943186
2016-01-13,KOSPI_ALL_PER_BASE,KOSPI_ALL,PRIMARY8,PER12MF,6,0.02014,0.0,0,0.0,0.02014,0.02014
2016-01-13,KOSPI_ALL_PER_BASE,KOSPI_ALL,PRIMARY8,PER12MF,7,0.0,1.0,1,0.0,-0.003,-0.006
