date,variant,universe,strategy,factor,phase,gross_ret,turnover,rebalanced,missing_weight,net30_ret,net60_ret
2016-01-04,MIXED_OPFY1_CF20,KOSDAQ_PLUS_KOSPI_EX_K200,CF20,OPFY1_REV,0,0.0,1.0,1,0.0,-0.003,-0.006
2016-01-05,MIXED_OPFY1_CF20,KOSDAQ_PLUS_KOSPI_EX_K200,CF20,OPFY1_REV,0,0.014465,0.0,0,0.0,0.0144649999999999,0.0144649999999999
2016-01-05,MIXED_OPFY1_CF20,KOSDAQ_PLUS_KOSPI_EX_K200,CF20,OPFY1_REV,1,0.0,1.0,1,0.0,-0.003,-0.006
2016-01-06,MIXED_OPFY1_CF20,KOSDAQ_PLUS_KOSPI_EX_K200,CF20,OPFY1_REV,0,2.6928479543404183e-05,0.0,0,0.0,2.6928479543331107e-05,2.6928479543331107e-05
2016-01-06,MIXED_OPFY1_CF20,KOSDAQ_PLUS_KOSPI_EX_K200,CF20,OPFY1_REV,1,0.0037749999999999,0.0,0,0.0,0.003775,0.003775
2016-01-06,MIXED_OPFY1_CF20,KOSDAQ_PLUS_KOSPI_EX_K200,CF20,OPFY1_REV,2,0.0,1.0,1,0.0,-0.003,-0.006
2016-01-07,MIXED_OPFY1_CF20,KOSDAQ_PLUS_KOSPI_EX_K200,CF20,OPFY1_REV,0,-0.017726513527577,0.0,0,0.0,-0.017726513527577,-0.017726513527577
2016-01-07,MIXED_OPFY1_CF20,KOSDAQ_PLUS_KOSPI_EX_K200,CF20,OPFY1_REV,1,-0.0154842414883813,0.0,0,0.0,-0.0154842414883813,-0.0154842414883813
2016-01-07,MIXED_OPFY1_CF20,KOSDAQ_PLUS_KOSPI_EX_K200,CF20,OPFY1_REV,2,-0.017145,0.0,0,0.0,-0.0171449999999999,-0.0171449999999999
2016-01-07,MIXED_OPFY1_CF20,KOSDAQ_PLUS_KOSPI_EX_K200,CF20,OPFY1_REV,3,0.0,1.0,1,0.0,-0.003,-0.006
2016-01-08,MIXED_OPFY1_CF20,KOSDAQ_PLUS_KOSPI_EX_K200,CF20,OPFY1_REV,0,0.0053532722547858,0.0,0,0.0,0.0053532722547857,0.0053532722547857
2016-01-08,MIXED_OPFY1_CF20,KOSDAQ_PLUS_KOSPI_EX_K200,CF20,OPFY1_REV,1,0.0054043631104508,0.0,0,0.0,0.0054043631104507,0.0054043631104507
2016-01-08,MIXED_OPFY1_CF20,KOSDAQ_PLUS_KOSPI_EX_K200,CF20,OPFY1_REV,2,0.0099386206510624,0.0,0,0.0,0.0099386206510625,0.0099386206510625
2016-01-08,MIXED_OPFY1_CF20,KOSDAQ_PLUS_KOSPI_EX_K200,CF20,OPFY1_REV,3,0.006095,0.0,0,0.0,0.0060949999999999,0.0060949999999999
2016-01-08,MIXED_OPFY1_CF20,KOSDAQ_PLUS_KOSPI_EX_K200,CF20,OPFY1_REV,4,0.0,1.0,1,0.0,-0.003,-0.006
2016-01-11,MIXED_OPFY1_CF20,KOSDAQ_PLUS_KOSPI_EX_K200,CF20,OPFY1_REV,0,-0.0213390246062725,0.0,0,0.0,-0.0213390246062725,-0.0213390246062725
2016-01-11,MIXED_OPFY1_CF20,KOSDAQ_PLUS_KOSPI_EX_K200,CF20,OPFY1_REV,1,-0.0195462542366376,0.0,0,0.0,-0.0195462542366376,-0.0195462542366376
2016-01-11,MIXED_OPFY1_CF20,KOSDAQ_PLUS_KOSPI_EX_K200,CF20,OPFY1_REV,2,-0.0155565469162915,0.0,0,0.0,-0.0155565469162914,-0.0155565469162914
2016-01-11,MIXED_OPFY1_CF20,KOSDAQ_PLUS_KOSPI_EX_K200,CF20,OPFY1_REV,3,-0.0190300478583036,0.0,0,0.0,-0.0190300478583036,-0.0190300478583036
2016-01-11,MIXED_OPFY1_CF20,KOSDAQ_PLUS_KOSPI_EX_K200,CF20,OPFY1_REV,4,-0.018715,0.0,0,0.0,-0.018715,-0.018715
2016-01-11,MIXED_OPFY1_CF20,KOSDAQ_PLUS_KOSPI_EX_K200,CF20,OPFY1_REV,5,0.0,1.0,1,0.0,-0.003,-0.006
2016-01-12,MIXED_OPFY1_CF20,KOSDAQ_PLUS_KOSPI_EX_K200,CF20,OPFY1_REV,0,-0.0019302092118111,0.0,0,0.0,-0.0019302092118111,-0.0019302092118111
2016-01-12,MIXED_OPFY1_CF20,KOSDAQ_PLUS_KOSPI_EX_K200,CF20,OPFY1_REV,1,-0.0050341912711084,0.0,0,0.0,-0.0050341912711083,-0.0050341912711083
2016-01-12,MIXED_OPFY1_CF20,KOSDAQ_PLUS_KOSPI_EX_K200,CF20,OPFY1_REV,2,0.0006475007338714,0.0,0,0.0,0.0006475007338715,0.0006475007338715
2016-01-12,MIXED_OPFY1_CF20,KOSDAQ_PLUS_KOSPI_EX_K200,CF20,OPFY1_REV,3,-0.0035630593441709,0.0,0,0.0,-0.0035630593441708,-0.0035630593441708
2016-01-12,MIXED_OPFY1_CF20,KOSDAQ_PLUS_KOSPI_EX_K200,CF20,OPFY1_REV,4,-0.0030925123689855,0.0,0,0.0,-0.0030925123689855,-0.0030925123689855
