variant,universe,strategy,factor,period,return_type,median_cagr,median_sharpe,median_mdd,median_calmar,median_annual_turnover,min_cagr,max_cagr,positive_cagr_phases,n_phases
KOSPI_ALL_PER_BASE,KOSPI_ALL,PRIMARY8,PER12MF,BULL_2025,GROSS,0.7222645229226963,2.621245040706242,-0.13136199563729023,5.43773115159574,3.8604779966226643,0.6175128014080717,0.7645951640128337,10,10
KOSPI_ALL_PER_BASE,KOSPI_ALL,PRIMARY8,PER12MF,BULL_2025,NET30,0.7029940971694465,2.565822043124199,-0.1327490880764703,5.236705845010462,3.8604779966226643,0.6008855041665788,0.7435695669187865,10,10
KOSPI_ALL_PER_BASE,KOSPI_ALL,PRIMARY8,PER12MF,BULL_2025,NET60,0.683929582147949,2.5100853766561673,-0.13413472591299264,5.041337390099862,3.8604779966226643,0.5844206863675778,0.7227834036678589,10,10
KOSPI_ALL_PER_BASE,KOSPI_ALL,PRIMARY8,PER12MF,EARLY_2016_2019,GROSS,0.024317413700805868,0.23225069342841304,-0.3216445074798009,0.07724259135327827,4.504439070805978,0.005001569840036968,0.06524579197834335,10,10
KOSPI_ALL_PER_BASE,KOSPI_ALL,PRIMARY8,PER12MF,EARLY_2016_2019,NET30,0.010605277247437428,0.14577799122765261,-0.33322393637412384,0.03259372826158966,4.504439070805978,-0.008298422288078533,0.050955945929481716,8,10
KOSPI_ALL_PER_BASE,KOSPI_ALL,PRIMARY8,PER12MF,EARLY_2016_2019,NET60,-0.0029330661111364176,0.05932167069235182,-0.34554954452297637,-0.00842196872620433,4.504439070805978,-0.02143174880450638,0.03684741947453141,4,10
KOSPI_ALL_PER_BASE,KOSPI_ALL,PRIMARY8,PER12MF,FULL_2016_2026,GROSS,0.14496691328801647,0.7208025653584821,-0.6009325163636094,0.2424155513310589,4.101368577654977,0.13654123183792088,0.15942366810286157,10,10
KOSPI_ALL_PER_BASE,KOSPI_ALL,PRIMARY8,PER12MF,FULL_2016_2026,NET30,0.13089869014451294,0.665110571242228,-0.6091105044596123,0.21562553486567673,4.101368577654977,0.12281534559770768,0.14530090612926005,10,10
KOSPI_ALL_PER_BASE,KOSPI_ALL,PRIMARY8,PER12MF,FULL_2016_2026,NET60,0.11699486037559359,0.6093371295990484,-0.6171251559109745,0.18989566851744705,4.101368577654977,0.10924700459342107,0.13134157632741839,10,10
KOSPI_ALL_PER_BASE,KOSPI_ALL,PRIMARY8,PER12MF,LATE_2020_2022,GROSS,0.1268289936663275,0.5868588607165968,-0.4249359514349129,0.300468853525374,4.0599045315302185,0.11324799854622536,0.1489149627403119,10,10
KOSPI_ALL_PER_BASE,KOSPI_ALL,PRIMARY8,PER12MF,LATE_2020_2022,NET30,0.1133245270265002,0.5404927112053682,-0.42620837946958645,0.26763360324357577,4.0599045315302185,0.10029623764399953,0.13504668835902534,10,10
KOSPI_ALL_PER_BASE,KOSPI_ALL,PRIMARY8,PER12MF,LATE_2020_2022,NET60,0.09997473344720287,0.4945053230911006,-0.42766894669514943,0.23535913709370482,4.0599045315302185,0.08748846345255967,0.12133855778320224,10,10
KOSPI_ALL_PER_BASE,KOSPI_ALL,PRIMARY8,PER12MF,NORMAL_2023_2024,GROSS,0.14806726888737998,0.8277027067735334,-0.13611829169286238,1.1514277205376908,3.4808307070630637,0.11949022988838731,0.18433344234065707,10,10
KOSPI_ALL_PER_BASE,KOSPI_ALL,PRIMARY8,PER12MF,NORMAL_2023_2024,NET30,0.13614929648326857,0.7715558712727147,-0.13950204217247958,1.0275506939137795,3.4808307070630637,0.10788358454904201,0.17155630323031223,10,10
KOSPI_ALL_PER_BASE,KOSPI_ALL,PRIMARY8,PER12MF,NORMAL_2023_2024,NET60,0.12434926657454126,0.7160018177451475,-0.14287402048864806,0.9049226323442082,3.4808307070630637,0.09636884415320335,0.15891065717910413,10,10
KOSPI_ALL_PER_BASE,KOSPI_ALL,PRIMARY8,PER12MF,PRE_STRESS_2016_2024,GROSS,0.08475999825998037,0.4991994840919989,-0.6009325163636094,0.14320363936131586,4.116608240028489,0.07932566084305348,0.10031281790879265,10,10
KOSPI_ALL_PER_BASE,KOSPI_ALL,PRIMARY8,PER12MF,PRE_STRESS_2016_2024,NET30,0.07130973123715367,0.4383482699500081,-0.6091105044596123,0.11910668491741387,4.116608240028489,0.06616622584866438,0.08682262888820369,10,10
KOSPI_ALL_PER_BASE,KOSPI_ALL,PRIMARY8,PER12MF,PRE_STRESS_2016_2024,NET60,0.05801798639697775,0.3774706806679986,-0.6171251559109745,0.09594657652400368,4.116608240028489,0.053159235810691374,0.07348949902737267,10,10
KOSPI_ALL_PER_BASE,KOSPI_ALL,PRIMARY8,PER12MF,YTD_2026,GROSS,0.3511855725828861,0.9835391462527558,-0.17691170353792102,2.0302420201646356,4.413970167923743,0.22149421312622897,0.4131423363493625,10,10
KOSPI_ALL_PER_BASE,KOSPI_ALL,PRIMARY8,PER12MF,YTD_2026,NET30,0.3341278871065002,0.9502177890031528,-0.17800782354536315,1.9180703627700564,4.413970167923743,0.20640202428825605,0.3940569635045903,10,10
KOSPI_ALL_PER_BASE,KOSPI_ALL,PRIMARY8,PER12MF,YTD_2026,NET60,0.3172760759119616,0.9168272369741148,-0.18054753982266292,1.8078447939052258,4.413970167923743,0.19148689117260598,0.37521780890364176,10,10
