universe,factor,strategy,phase,period,return_type,n_days,cagr,sharpe,mdd,calmar,annual_turnover,avg_missing_weight
KOSDAQ_PLUS_KOSPI_EX_K200,OPFY1_REV,BASE,0,FULL_2016_2026,GROSS,2599,0.1443988926270201,0.6348754775115668,-0.5406097472653774,0.26710375341445114,13.941012974692198,0.0
KOSDAQ_PLUS_KOSPI_EX_K200,OPFY1_REV,BASE,0,FULL_2016_2026,NET30,2599,0.0974819369511093,0.47990756149741615,-0.5456091209348632,0.17866625247041468,13.941012974692198,0.0
KOSDAQ_PLUS_KOSPI_EX_K200,OPFY1_REV,BASE,0,FULL_2016_2026,NET60,2599,0.05240809865115059,0.3248542997117676,-0.5505632118471724,0.09518997550765933,13.941012974692198,0.0
KOSDAQ_PLUS_KOSPI_EX_K200,OPFY1_REV,BASE,0,PRE_STRESS_2016_2024,GROSS,2210,0.12314638870925831,0.6048132470386326,-0.469285534545392,0.26241249653806853,13.795772524655426,0.0
KOSDAQ_PLUS_KOSPI_EX_K200,OPFY1_REV,BASE,0,PRE_STRESS_2016_2024,NET30,2210,0.07757096558674603,0.43198528617706117,-0.4855283565178079,0.15976608687303506,13.795772524655426,0.0
KOSDAQ_PLUS_KOSPI_EX_K200,OPFY1_REV,BASE,0,PRE_STRESS_2016_2024,NET60,2210,0.0337675914085771,0.25915977260645495,-0.501301311204935,0.06735987050864246,13.795772524655426,0.0
KOSDAQ_PLUS_KOSPI_EX_K200,OPFY1_REV,BASE,0,EARLY_2016_2019,GROSS,979,0.12226200154701816,0.6794548955316853,-0.22528467673017194,0.5427000332270883,13.169244575297684,0.0
KOSDAQ_PLUS_KOSPI_EX_K200,OPFY1_REV,BASE,0,EARLY_2016_2019,NET30,979,0.078751495267529,0.4805204580907312,-0.24259927743822396,0.32461553925106995,13.169244575297684,0.0
KOSDAQ_PLUS_KOSPI_EX_K200,OPFY1_REV,BASE,0,EARLY_2016_2019,NET60,979,0.03685678588355712,0.28145970301157586,-0.2595560084706632,0.14199935536349925,13.169244575297684,0.0
KOSDAQ_PLUS_KOSPI_EX_K200,OPFY1_REV,BASE,0,LATE_2020_2022,GROSS,742,0.15126970365198078,0.6303274808313764,-0.45317402632229187,0.3338004714868623,14.182638683921653,0.0
KOSDAQ_PLUS_KOSPI_EX_K200,OPFY1_REV,BASE,0,LATE_2020_2022,NET30,742,0.10327037940610717,0.4836004466269898,-0.4564862493682952,0.22622889418688308,14.182638683921653,0.0
