universe,metric,strategy,sample,phase,family,n_dates,net_delta_30
KOSDAQ,ACT1,LOW05,BULL_2025,0,FLOW,25,8.330252919388677e-05
KOSDAQ,ACT1,LOW05,BULL_2025,0,MOMENTUM,25,0.0006517521071732835
KOSDAQ,ACT1,LOW05,BULL_2025,0,REVISION,25,0.0007370485864451977
KOSDAQ,ACT1,LOW05,BULL_2025,0,VALUE,25,0.00014963465288747073
KOSDAQ,ACT1,LOW05,BULL_2025,1,FLOW,25,-0.00022400459595951904
KOSDAQ,ACT1,LOW05,BULL_2025,1,MOMENTUM,25,-0.00016509349779955364
KOSDAQ,ACT1,LOW05,BULL_2025,1,REVISION,25,4.756450669631415e-05
KOSDAQ,ACT1,LOW05,BULL_2025,1,VALUE,25,1.8795852630842424e-05
KOSDAQ,ACT1,LOW05,BULL_2025,2,FLOW,24,3.8576229331217046e-05
KOSDAQ,ACT1,LOW05,BULL_2025,2,MOMENTUM,24,0.0005250863512032376
KOSDAQ,ACT1,LOW05,BULL_2025,2,REVISION,24,-0.00030596705918910276
KOSDAQ,ACT1,LOW05,BULL_2025,2,VALUE,24,0.0001904226110099813
KOSDAQ,ACT1,LOW05,BULL_2025,3,FLOW,24,0.00041463519566486913
KOSDAQ,ACT1,LOW05,BULL_2025,3,MOMENTUM,24,0.0009312285564032934
KOSDAQ,ACT1,LOW05,BULL_2025,3,REVISION,24,1.3522785009281363e-05
KOSDAQ,ACT1,LOW05,BULL_2025,3,VALUE,24,2.583522854481404e-05
KOSDAQ,ACT1,LOW05,BULL_2025,4,FLOW,24,8.827996889023288e-05
KOSDAQ,ACT1,LOW05,BULL_2025,4,MOMENTUM,24,0.0007249246466219461
KOSDAQ,ACT1,LOW05,BULL_2025,4,REVISION,24,-0.0002826278716278186
KOSDAQ,ACT1,LOW05,BULL_2025,4,VALUE,24,0.0
KOSDAQ,ACT1,LOW05,BULL_2025,5,FLOW,24,-9.66258367654058e-06
KOSDAQ,ACT1,LOW05,BULL_2025,5,MOMENTUM,24,0.00033106852643433477
KOSDAQ,ACT1,LOW05,BULL_2025,5,REVISION,24,-6.062273158637515e-05
KOSDAQ,ACT1,LOW05,BULL_2025,5,VALUE,24,0.0
KOSDAQ,ACT1,LOW05,BULL_2025,6,FLOW,24,0.0002709526564061475
KOSDAQ,ACT1,LOW05,BULL_2025,6,MOMENTUM,24,-0.00040300451971819274
KOSDAQ,ACT1,LOW05,BULL_2025,6,REVISION,24,9.80600722074694e-05
KOSDAQ,ACT1,LOW05,BULL_2025,6,VALUE,24,0.0
KOSDAQ,ACT1,LOW05,BULL_2025,7,FLOW,24,0.00017891969532911832
KOSDAQ,ACT1,LOW05,BULL_2025,7,MOMENTUM,24,0.00040638461422129956
KOSDAQ,ACT1,LOW05,BULL_2025,7,REVISION,24,0.0
KOSDAQ,ACT1,LOW05,BULL_2025,7,VALUE,24,0.0
KOSDAQ,ACT1,LOW05,BULL_2025,8,FLOW,24,0.0012066408988802193
KOSDAQ,ACT1,LOW05,BULL_2025,8,MOMENTUM,24,0.001030367053814582
KOSDAQ,ACT1,LOW05,BULL_2025,8,REVISION,24,-3.4645876163434296e-05
KOSDAQ,ACT1,LOW05,BULL_2025,8,VALUE,24,0.0
KOSDAQ,ACT1,LOW05,BULL_2025,9,FLOW,24,0.0008421284403163252
KOSDAQ,ACT1,LOW05,BULL_2025,9,MOMENTUM,24,0.0007416760715675299
KOSDAQ,ACT1,LOW05,BULL_2025,9,REVISION,24,-0.0005642197676485112
KOSDAQ,ACT1,LOW05,BULL_2025,9,VALUE,24,0.00013051968398367477
KOSDAQ,ACT1,LOW05,EARLY_2016_2019,0,FLOW,96,0.0003416160824942609
KOSDAQ,ACT1,LOW05,EARLY_2016_2019,0,MOMENTUM,96,0.0010455821445674218
KOSDAQ,ACT1,LOW05,EARLY_2016_2019,0,REVISION,96,0.00031616070896382624
KOSDAQ,ACT1,LOW05,EARLY_2016_2019,0,VALUE,96,0.0004273669168564362
KOSDAQ,ACT1,LOW05,EARLY_2016_2019,1,FLOW,96,7.841535113784733e-05
KOSDAQ,ACT1,LOW05,EARLY_2016_2019,1,MOMENTUM,96,0.0002278816032806912
KOSDAQ,ACT1,LOW05,EARLY_2016_2019,1,REVISION,96,0.0006057200645672486
KOSDAQ,ACT1,LOW05,EARLY_2016_2019,1,VALUE,96,0.00033542076323202495
