universe,metric,strategy,sample,phase,n_dates,net_delta_30
KOSDAQ,ACT1,LOW05,BULL_2025,0,25,0.0004054344689249597
KOSDAQ,ACT1,LOW05,BULL_2025,1,25,-8.068443360797902e-05
KOSDAQ,ACT1,LOW05,BULL_2025,2,24,0.00011202953308883327
KOSDAQ,ACT1,LOW05,BULL_2025,3,24,0.00034630544140556454
KOSDAQ,ACT1,LOW05,BULL_2025,4,24,0.00013264418597109013
KOSDAQ,ACT1,LOW05,BULL_2025,5,24,6.519580279285475e-05
KOSDAQ,ACT1,LOW05,BULL_2025,6,24,-8.497947776143973e-06
KOSDAQ,ACT1,LOW05,BULL_2025,7,24,0.0001463260773876045
KOSDAQ,ACT1,LOW05,BULL_2025,8,24,0.0005505905191328417
KOSDAQ,ACT1,LOW05,BULL_2025,9,24,0.0002875261070547546
KOSDAQ,ACT1,LOW05,EARLY_2016_2019,0,96,0.0005326814632204863
KOSDAQ,ACT1,LOW05,EARLY_2016_2019,1,96,0.000311859445554453
KOSDAQ,ACT1,LOW05,EARLY_2016_2019,2,96,0.0004209204232582665
KOSDAQ,ACT1,LOW05,EARLY_2016_2019,3,96,0.00047637202867126873
KOSDAQ,ACT1,LOW05,EARLY_2016_2019,4,96,0.0005254507529976231
KOSDAQ,ACT1,LOW05,EARLY_2016_2019,5,97,0.00037471877241161824
KOSDAQ,ACT1,LOW05,EARLY_2016_2019,6,97,0.000434513954629932
KOSDAQ,ACT1,LOW05,EARLY_2016_2019,7,97,0.0007424123786673534
KOSDAQ,ACT1,LOW05,EARLY_2016_2019,8,97,0.0005466058765908206
KOSDAQ,ACT1,LOW05,EARLY_2016_2019,9,96,0.0005234080311461534
KOSDAQ,ACT1,LOW05,LATE_2020_2022,0,75,0.00016754527972978083
KOSDAQ,ACT1,LOW05,LATE_2020_2022,1,74,-0.00017770893973162747
KOSDAQ,ACT1,LOW05,LATE_2020_2022,2,74,-0.00018765741873732244
KOSDAQ,ACT1,LOW05,LATE_2020_2022,3,74,-8.824300016563919e-05
KOSDAQ,ACT1,LOW05,LATE_2020_2022,4,74,-0.0003486730025198977
KOSDAQ,ACT1,LOW05,LATE_2020_2022,5,74,0.00010014956159366214
KOSDAQ,ACT1,LOW05,LATE_2020_2022,6,74,-0.00040812918600391656
KOSDAQ,ACT1,LOW05,LATE_2020_2022,7,74,0.0001619286161707538
KOSDAQ,ACT1,LOW05,LATE_2020_2022,8,74,0.00033429735402222793
KOSDAQ,ACT1,LOW05,LATE_2020_2022,9,75,9.315948249480089e-05
