universe,metric,strategy,sample,n_phases,mean_phase_edge,median_phase_edge,min_phase_edge,max_phase_edge,std_phase_edge,positive_phases,positive_phase_share
KOSDAQ,ACT1,LOW05,BULL_2025,10,0.00019568697543743803,0.00013948513167934731,-8.068443360797902e-05,0.0005505905191328417,0.00019708456411246595,8,0.8
KOSDAQ,ACT1,LOW05,EARLY_2016_2019,10,0.0004888943127147976,0.000499890029908711,0.000311859445554453,0.0007424123786673534,0.00011745391426702777,10,1.0
KOSDAQ,ACT1,LOW05,LATE_2020_2022,10,-3.5333125314717786e-05,2.458241164580848e-06,-0.00040812918600391656,0.00033429735402222793,0.00024381145746534967,5,0.5
KOSDAQ,ACT1,LOW05,NORMAL_2023_2024,10,0.0003399770401291981,0.0003547465543949224,-6.143533538507449e-05,0.0006612236288736426,0.00023164497061961943,9,0.9
KOSDAQ,ACT1,LOW05,YTD_2026,10,-1.751631628341943e-05,-6.344549314782086e-05,-0.0012394019663759385,0.0009770479480996565,0.000703891811280766,5,0.5
KOSDAQ,ACT5,LOW30,BULL_2025,10,0.0007479017661884116,0.0006935270958941772,0.00018379757889105995,0.0017470475231852781,0.0004965181266927747,10,1.0
KOSDAQ,ACT5,LOW30,EARLY_2016_2019,10,0.00040849406791182246,0.0005212682557631419,-0.00039607191392375716,0.0008941087600062167,0.0003857826003732518,8,0.8
KOSDAQ,ACT5,LOW30,LATE_2020_2022,10,3.223042463896164e-06,-5.107502016350304e-05,-0.0010656151872714028,0.0011339536465617007,0.0007449473283868808,4,0.4
KOSDAQ,ACT5,LOW30,NORMAL_2023_2024,10,0.0006983118774039059,0.0005787105033865027,-8.808722155728878e-05,0.0016238872608596653,0.0006672844876700998,7,0.7
KOSDAQ,ACT5,LOW30,YTD_2026,10,-0.001485086602822126,-0.0007470853191691641,-0.007309926839107068,0.003501377745238513,0.0033266532871265167,3,0.3
KOSDAQ,AMIHUD20,TOP05,BULL_2025,10,8.712044220620216e-05,6.860020636112577e-05,-2.195631822406116e-05,0.0002019026682789476,7.086317552598938e-05,9,0.9
KOSDAQ,AMIHUD20,TOP05,EARLY_2016_2019,10,0.00041060851217384383,0.00038947594838348266,0.0003441403678938547,0.0005888214922029054,7.109571551412342e-05,10,1.0
KOSDAQ,AMIHUD20,TOP05,LATE_2020_2022,10,0.00011691950494039766,0.00010787067225162092,-8.538336702394305e-05,0.000322019153938265,0.00013847002319669816,8,0.8
KOSDAQ,AMIHUD20,TOP05,NORMAL_2023_2024,10,0.00014614126588226816,0.00012946864323190572,4.5160261470192965e-05,0.00026273586993759966,6.92063171922544e-05,10,1.0
KOSDAQ,AMIHUD20,TOP05,YTD_2026,10,-0.0001622443216654505,-0.00012596207989246807,-0.00040455991630828026,0.00015248689490165025,0.00016144453972977808,1,0.1
KOSDAQ,TURNOVER20,LOW30,BULL_2025,10,0.0006655772935545789,0.0007431359602647278,-0.00012766136243544897,0.0013660094025376244,0.0004745997181987561,9,0.9
KOSDAQ,TURNOVER20,LOW30,EARLY_2016_2019,10,0.00067923486758856,0.0006958894584871672,0.00026345226808990825,0.001250583836251788,0.00034063387661850545,10,1.0
KOSDAQ,TURNOVER20,LOW30,LATE_2020_2022,10,-0.0001225306401977415,-0.00011716175814226895,-0.0004514956611642465,7.567851813377254e-05,0.00017836208623032377,4,0.4
KOSDAQ,TURNOVER20,LOW30,NORMAL_2023_2024,10,0.0009948434267399425,0.0009098096343941026,0.0005847649129119666,0.0015425261158735872,0.0003037221293746698,10,1.0
KOSDAQ,TURNOVER20,LOW30,YTD_2026,10,6.229723828364901e-05,-0.00028836252239652834,-0.001513899721782596,0.002604692730014967,0.001342636777208278,4,0.4
KOSDAQ,TURNOVER20,TOP01_LOW30,BULL_2025,10,0.0007143497550698515,0.0007704665323070375,-0.0004557285490755224,0.0019908721624360757,0.0007847709219618008,8,0.8
KOSDAQ,TURNOVER20,TOP01_LOW30,EARLY_2016_2019,10,0.000801145028963075,0.0006688928915806538,0.0003684664323482397,0.001500141621056484,0.0003399490117225112,10,1.0
KOSDAQ,TURNOVER20,TOP01_LOW30,LATE_2020_2022,10,0.00013840762248962178,0.0003258929204371793,-0.0006492404106431189,0.0005057673435493223,0.00040431938568411343,7,0.7
KOSDAQ,TURNOVER20,TOP01_LOW30,NORMAL_2023_2024,10,0.0010859992857947406,0.0010117625830158555,0.0002693241888389045,0.0020203446751940126,0.0006435378476215451,10,1.0
KOSDAQ,TURNOVER20,TOP01_LOW30,YTD_2026,10,-0.0002714041833919296,-0.0006984636543698533,-0.002485239612048302,0.003449858563048675,0.0017797600883455544,4,0.4
KOSPI_EX_K200,ACT5,LOW10,BULL_2025,10,1.2227999698497476e-06,-0.00015006886526788236,-0.0007363795703742795,0.0009387461142750884,0.0005873056296648813,4,0.4
KOSPI_EX_K200,ACT5,LOW10,EARLY_2016_2019,10,0.00013884234366069704,0.00011903549878619648,-3.26632381949838e-05,0.0004631806034597554,0.00013511670562869885,9,0.9
KOSPI_EX_K200,ACT5,LOW10,LATE_2020_2022,10,4.827741972161394e-05,0.00021985299769007816,-0.0007190744891184753,0.0005383216643865145,0.0004168843577743468,6,0.6
KOSPI_EX_K200,ACT5,LOW10,NORMAL_2023_2024,10,0.0007035201394349369,0.0007916687002618534,0.00013997986530403647,0.001136512461144595,0.0003603677424181531,10,1.0
KOSPI_EX_K200,ACT5,LOW10,YTD_2026,10,0.0016281346025802258,0.0017155609657893197,0.00010948810190659864,0.0030533457907052117,0.0009193577698972334,10,1.0
KOSPI_EX_K200,ADV20,LOW10,BULL_2025,10,1.9023416478269786e-05,4.155714667930336e-06,-0.00011772346459496055,0.00019208736019840557,0.00010634161683764531,5,0.5
KOSPI_EX_K200,ADV20,LOW10,EARLY_2016_2019,10,4.6484254474035544e-05,3.507152234254957e-05,-6.094159300507346e-05,0.00015524242221310762,7.422981641394031e-05,5,0.5
KOSPI_EX_K200,ADV20,LOW10,LATE_2020_2022,10,7.711938837851453e-05,6.537777214563853e-05,-5.550545346411221e-05,0.0002606129588720548,9.378711371857301e-05,8,0.8
KOSPI_EX_K200,ADV20,LOW10,NORMAL_2023_2024,10,0.0003466789371776921,0.0003021773316608593,0.0001853286725020811,0.0006594768877479522,0.00014488176126404664,10,1.0
KOSPI_EX_K200,ADV20,LOW10,YTD_2026,10,0.0006734630239195632,0.0005836179967312078,9.761196622344322e-06,0.0019829070064221357,0.000572071410316844,10,1.0
KOSPI_EX_K200,AMIHUD20,TOP05,BULL_2025,10,-3.610408580505704e-05,-4.704589669795322e-06,-0.00028117462003375766,0.0001610546997915846,0.00013851165083472405,5,0.5
