universe,sample,other_decile,n_dates,mean_fwd10
K200,EARLY_2016_2019,1,49,0.020368726197818706
K200,EARLY_2016_2019,2,97,0.0020050126313372373
K200,EARLY_2016_2019,3,98,-0.0030772714720723707
K200,EARLY_2016_2019,4,98,-0.0006231870214236968
K200,EARLY_2016_2019,5,98,0.00035669482760297726
K200,EARLY_2016_2019,6,98,0.0007253019865397771
K200,EARLY_2016_2019,7,98,0.0002970080307781014
K200,EARLY_2016_2019,8,98,0.003019631608726088
K200,EARLY_2016_2019,9,92,0.007618287550208072
K200,EARLY_2016_2019,10,40,0.0010280992497213814
K200,LATE_2020_2022,1,44,-0.021604112611591356
K200,LATE_2020_2022,2,73,0.007707382683260344
K200,LATE_2020_2022,3,75,-0.0018050731104957574
K200,LATE_2020_2022,4,75,0.0011590400288355204
K200,LATE_2020_2022,5,75,0.0030179987869543186
K200,LATE_2020_2022,6,75,0.004520969588227206
K200,LATE_2020_2022,7,75,0.008148265741143518
K200,LATE_2020_2022,8,75,0.00568246416606879
K200,LATE_2020_2022,9,71,0.011700438442201986
K200,LATE_2020_2022,10,37,0.020324492416222126
K200,NORMAL_2023_2024,1,25,0.02340056702561231
K200,NORMAL_2023_2024,2,48,-0.0033737194264204426
K200,NORMAL_2023_2024,3,48,-0.006248935261108128
K200,NORMAL_2023_2024,4,48,-0.0007732385839883249
K200,NORMAL_2023_2024,5,48,0.004358654419702558
K200,NORMAL_2023_2024,6,48,0.0033288946280882648
K200,NORMAL_2023_2024,7,48,0.004225513356745575
K200,NORMAL_2023_2024,8,48,0.007087182959494508
K200,NORMAL_2023_2024,9,45,-0.006656687982836471
K200,NORMAL_2023_2024,10,22,-0.010920518425847972
KOSDAQ,EARLY_2016_2019,1,61,0.014214544169395112
KOSDAQ,EARLY_2016_2019,2,98,-0.00010390974807772077
KOSDAQ,EARLY_2016_2019,3,98,-0.0011045984080445736
KOSDAQ,EARLY_2016_2019,4,98,-0.000978816222157753
KOSDAQ,EARLY_2016_2019,5,98,-0.00028641340709362537
KOSDAQ,EARLY_2016_2019,6,98,-0.0011789638729320319
KOSDAQ,EARLY_2016_2019,7,98,0.00577705689556361
KOSDAQ,EARLY_2016_2019,8,98,0.0036211760200325106
KOSDAQ,EARLY_2016_2019,9,98,-0.005512228288225258
KOSDAQ,EARLY_2016_2019,10,87,-0.013780141647707952
KOSDAQ,LATE_2020_2022,1,57,-0.03252376702770392
KOSDAQ,LATE_2020_2022,2,75,0.001673224635657061
KOSDAQ,LATE_2020_2022,3,75,0.001744858062558822
KOSDAQ,LATE_2020_2022,4,75,0.0009782200417495866
KOSDAQ,LATE_2020_2022,5,75,0.00615825467726691
KOSDAQ,LATE_2020_2022,6,75,0.0016684536185241476
KOSDAQ,LATE_2020_2022,7,75,0.00355150678529772
KOSDAQ,LATE_2020_2022,8,75,0.005343608088911728
KOSDAQ,LATE_2020_2022,9,75,0.006219484563937281
KOSDAQ,LATE_2020_2022,10,70,-0.0009308445019256044
KOSDAQ,NORMAL_2023_2024,1,43,-0.01762300111482617
KOSDAQ,NORMAL_2023_2024,2,48,0.01486358547837712
KOSDAQ,NORMAL_2023_2024,3,48,0.00875228179906939
KOSDAQ,NORMAL_2023_2024,4,48,-0.003585212026214906
KOSDAQ,NORMAL_2023_2024,5,48,-0.0021732821444587227
KOSDAQ,NORMAL_2023_2024,6,48,0.005047238446695733
KOSDAQ,NORMAL_2023_2024,7,48,0.0014322716492445164
KOSDAQ,NORMAL_2023_2024,8,48,0.00566732803955157
KOSDAQ,NORMAL_2023_2024,9,48,-0.003593367713162319
KOSDAQ,NORMAL_2023_2024,10,47,-0.004664209358515817
KOSDAQ_PLUS_KOSPI_EX_K200,EARLY_2016_2019,1,69,-0.01981584765154769
KOSDAQ_PLUS_KOSPI_EX_K200,EARLY_2016_2019,2,98,-0.005961957927226723
KOSDAQ_PLUS_KOSPI_EX_K200,EARLY_2016_2019,3,98,-0.005303941971145262
KOSDAQ_PLUS_KOSPI_EX_K200,EARLY_2016_2019,4,98,0.0021961214810087434
KOSDAQ_PLUS_KOSPI_EX_K200,EARLY_2016_2019,5,98,-0.0014879937467624233
KOSDAQ_PLUS_KOSPI_EX_K200,EARLY_2016_2019,6,98,-0.0005046512594928893
KOSDAQ_PLUS_KOSPI_EX_K200,EARLY_2016_2019,7,98,0.0018995156047500157
