strategy,universe,horizon,sample,n_dates,gross_delta,turnover_delta,mean_act5,act5_gt1_share,net_delta_0,net_delta_30,net_delta_60,metric,mean,ci025,ci975,p_gt0
CF20_ACT5_GT1_DIAG,K200,5,BULL_2025,49,-0.0009057956583144626,0.34740646258503405,1.696120435490886,1.0,-0.0009057956583144626,-0.0019480150460695644,-0.0029902344338246663,gross_delta,-0.0009057956583144626,-0.0035625534407664654,0.0015917817857939952,0.23975
CF20_ACT5_GT1_DIAG,K200,5,BULL_2025,49,-0.0009057956583144626,0.34740646258503405,1.696120435490886,1.0,-0.0009057956583144626,-0.0019480150460695644,-0.0029902344338246663,net_30,-0.0019480150460695644,-0.0045100807038066385,0.0005672708460202179,0.0645
CF20_ACT5_GT1_DIAG,K200,5,BULL_2025,49,-0.0009057956583144626,0.34740646258503405,1.696120435490886,1.0,-0.0009057956583144626,-0.0019480150460695644,-0.0029902344338246663,net_60,-0.0029902344338246663,-0.0055505491460826895,-0.00055251032898787,0.009
CF20_ACT5_GT1_DIAG,K200,5,EARLY_2016_2019,191,-0.0008692452380216436,0.3925392670157068,1.5094904117096575,1.0,-0.0008692452380216436,-0.0020468630390687637,-0.003224480840115884,gross_delta,-0.0008692452380216436,-0.0017292456013513501,-1.71426516270263e-05,0.023
CF20_ACT5_GT1_DIAG,K200,5,EARLY_2016_2019,191,-0.0008692452380216436,0.3925392670157068,1.5094904117096575,1.0,-0.0008692452380216436,-0.0020468630390687637,-0.003224480840115884,net_30,-0.0020468630390687637,-0.002880633788626078,-0.0011953400634276664,0.0
CF20_ACT5_GT1_DIAG,K200,5,EARLY_2016_2019,191,-0.0008692452380216436,0.3925392670157068,1.5094904117096575,1.0,-0.0008692452380216436,-0.0020468630390687637,-0.003224480840115884,net_60,-0.003224480840115884,-0.004069857655250231,-0.0023659612503550915,0.0
CF20_ACT5_GT1_DIAG,K200,5,LATE_2020_2022,149,-0.0007954719330624016,0.3541107382550336,1.7709305886841928,1.0,-0.0007954719330624016,-0.0018578041478275024,-0.002920136362592603,gross_delta,-0.0007954719330624016,-0.0024067374354354363,0.0007876404532768045,0.167
CF20_ACT5_GT1_DIAG,K200,5,LATE_2020_2022,149,-0.0007954719330624016,0.3541107382550336,1.7709305886841928,1.0,-0.0007954719330624016,-0.0018578041478275024,-0.002920136362592603,net_30,-0.0018578041478275024,-0.0034827278600629173,-0.0002232896945957931,0.01375
CF20_ACT5_GT1_DIAG,K200,5,LATE_2020_2022,149,-0.0007954719330624016,0.3541107382550336,1.7709305886841928,1.0,-0.0007954719330624016,-0.0018578041478275024,-0.002920136362592603,net_60,-0.002920136362592603,-0.004712475833322956,-0.0012857033500078279,0.00025
CF20_ACT5_GT1_DIAG,K200,5,NORMAL_2023_2024,96,-0.00079954498277208,0.35846354166666666,1.8322857320143562,1.0,-0.00079954498277208,-0.0018749356077720802,-0.0029503262327720795,gross_delta,-0.00079954498277208,-0.0024153210089523686,0.0008887705260969543,0.179
CF20_ACT5_GT1_DIAG,K200,5,NORMAL_2023_2024,96,-0.00079954498277208,0.35846354166666666,1.8322857320143562,1.0,-0.00079954498277208,-0.0018749356077720802,-0.0029503262327720795,net_30,-0.0018749356077720802,-0.0035039020660827245,-0.0002171014055959454,0.0155
CF20_ACT5_GT1_DIAG,K200,5,NORMAL_2023_2024,96,-0.00079954498277208,0.35846354166666666,1.8322857320143562,1.0,-0.00079954498277208,-0.0018749356077720802,-0.0029503262327720795,net_60,-0.0029503262327720795,-0.004613604839910486,-0.0012668565128790977,0.00075
CF20_ACT5_GT1_DIAG,K200,5,YTD_2026,27,-0.001487956836478822,0.3275462962962963,1.763792449633714,1.0,-0.001487956836478822,-0.0024705957253677124,-0.0034532346142566012,gross_delta,-0.001487956836478822,-0.007626240561501164,0.004300822602812655,0.32025
CF20_ACT5_GT1_DIAG,K200,5,YTD_2026,27,-0.001487956836478822,0.3275462962962963,1.763792449633714,1.0,-0.001487956836478822,-0.0024705957253677124,-0.0034532346142566012,net_30,-0.0024705957253677124,-0.008735299355208304,0.0033482341299354646,0.22725
CF20_ACT5_GT1_DIAG,K200,5,YTD_2026,27,-0.001487956836478822,0.3275462962962963,1.763792449633714,1.0,-0.001487956836478822,-0.0024705957253677124,-0.0034532346142566012,net_60,-0.0034532346142566012,-0.00989706107967,0.002383348803515835,0.136
CF20_ACT5_GT1_DIAG,K200,10,BULL_2025,25,-0.00510748918280047,0.3850833333333334,1.6872584999444653,1.0,-0.00510748918280047,-0.006262739182800471,-0.007417989182800471,gross_delta,-0.00510748918280047,-0.010804501262155644,0.0011085561717194034,0.05175
CF20_ACT5_GT1_DIAG,K200,10,BULL_2025,25,-0.00510748918280047,0.3850833333333334,1.6872584999444653,1.0,-0.00510748918280047,-0.006262739182800471,-0.007417989182800471,net_30,-0.006262739182800471,-0.01170517399425652,-0.00041606105482655395,0.0185
CF20_ACT5_GT1_DIAG,K200,10,BULL_2025,25,-0.00510748918280047,0.3850833333333334,1.6872584999444653,1.0,-0.00510748918280047,-0.006262739182800471,-0.007417989182800471,net_60,-0.007417989182800471,-0.012987749692693493,-0.0015249423745506145,0.007
CF20_ACT5_GT1_DIAG,K200,10,EARLY_2016_2019,96,-0.0011547195456276507,0.38242187499999997,1.5071802057616868,1.0,-0.0011547195456276507,-0.0023019851706276503,-0.003449250795627651,gross_delta,-0.0011547195456276507,-0.0025273870443050838,0.0001502903511018858,0.04575
CF20_ACT5_GT1_DIAG,K200,10,EARLY_2016_2019,96,-0.0011547195456276507,0.38242187499999997,1.5071802057616868,1.0,-0.0011547195456276507,-0.0023019851706276503,-0.003449250795627651,net_30,-0.0023019851706276503,-0.003586906778164142,-0.0010319656000113372,0.00025
CF20_ACT5_GT1_DIAG,K200,10,EARLY_2016_2019,96,-0.0011547195456276507,0.38242187499999997,1.5071802057616868,1.0,-0.0011547195456276507,-0.0023019851706276503,-0.003449250795627651,net_60,-0.003449250795627651,-0.0047720905574042535,-0.002162922774434516,0.0
CF20_ACT5_GT1_DIAG,K200,10,LATE_2020_2022,75,-0.0027728846410335867,0.3563333333333333,1.7842389739502567,1.0,-0.0027728846410335867,-0.0038418846410335867,-0.004910884641033586,gross_delta,-0.0027728846410335867,-0.005641964130759543,0.0005041850217333428,0.04725
CF20_ACT5_GT1_DIAG,K200,10,LATE_2020_2022,75,-0.0027728846410335867,0.3563333333333333,1.7842389739502567,1.0,-0.0027728846410335867,-0.0038418846410335867,-0.004910884641033586,net_30,-0.0038418846410335867,-0.006852578593828574,-0.0006788543733330891,0.00975
CF20_ACT5_GT1_DIAG,K200,10,LATE_2020_2022,75,-0.0027728846410335867,0.3563333333333333,1.7842389739502567,1.0,-0.0027728846410335867,-0.0038418846410335867,-0.004910884641033586,net_60,-0.004910884641033586,-0.007896587540377305,-0.0018305350452228325,0.00075
CF20_ACT5_GT1_DIAG,K200,10,NORMAL_2023_2024,48,0.000740703858762164,0.3674479166666667,1.8847175785390469,1.0,0.000740703858762164,-0.00036163989123783584,-0.0014639836412378357,gross_delta,0.000740703858762164,-0.002340790042833514,0.0036149684212044395,0.67725
CF20_ACT5_GT1_DIAG,K200,10,NORMAL_2023_2024,48,0.000740703858762164,0.3674479166666667,1.8847175785390469,1.0,0.000740703858762164,-0.00036163989123783584,-0.0014639836412378357,net_30,-0.00036163989123783584,-0.0034517800187583007,0.0024886982151253473,0.40875
CF20_ACT5_GT1_DIAG,K200,10,NORMAL_2023_2024,48,0.000740703858762164,0.3674479166666667,1.8847175785390469,1.0,0.000740703858762164,-0.00036163989123783584,-0.0014639836412378357,net_60,-0.0014639836412378357,-0.004571997569755899,0.0014200446256578216,0.1615
CF20_ACT5_GT1_DIAG,K200,10,YTD_2026,12,-0.0024869345119302483,0.3354166666666667,1.83139454676288,1.0,-0.0024869345119302483,-0.0034931845119302502,-0.004499434511930249,gross_delta,-0.0024869345119302483,-0.016889281911431464,0.009826285663549138,0.36775
CF20_ACT5_GT1_DIAG,K200,10,YTD_2026,12,-0.0024869345119302483,0.3354166666666667,1.83139454676288,1.0,-0.0024869345119302483,-0.0034931845119302502,-0.004499434511930249,net_30,-0.0034931845119302502,-0.017743351721548298,0.00859247157083944,0.34075
CF20_ACT5_GT1_DIAG,K200,10,YTD_2026,12,-0.0024869345119302483,0.3354166666666667,1.83139454676288,1.0,-0.0024869345119302483,-0.0034931845119302502,-0.004499434511930249,net_60,-0.004499434511930249,-0.019261641480713982,0.0073596590708394395,0.27675
CF20_ACT5_GT1_DIAG,KOSDAQ,5,BULL_2025,49,-0.0009891101344691447,0.32556486880466473,3.1816414172519925,1.0,-0.0009891101344691447,-0.0019658047408831394,-0.0029424993472971324,gross_delta,-0.0009891101344691447,-0.004906646700229371,0.0032103955173763215,0.32575
CF20_ACT5_GT1_DIAG,KOSDAQ,5,BULL_2025,49,-0.0009891101344691447,0.32556486880466473,3.1816414172519925,1.0,-0.0009891101344691447,-0.0019658047408831394,-0.0029424993472971324,net_30,-0.0019658047408831394,-0.006055486068935419,0.0023356614354272426,0.17775
