strategy,universe,horizon,sample,family,n_dates,gross_delta,positive_date_rate
CF20_ACT5_GT1_DIAG,K200,5,BULL_2025,FLOW,49,-0.0006867589688094117,0.5306122448979592
CF20_ACT5_GT1_DIAG,K200,5,BULL_2025,MOMENTUM,49,-0.0008433370822664945,0.4897959183673469
CF20_ACT5_GT1_DIAG,K200,5,BULL_2025,REVISION,48,-0.0020679201615813815,0.3958333333333333
CF20_ACT5_GT1_DIAG,K200,5,BULL_2025,VALUE,49,-6.755586726755427e-05,0.5510204081632653
CF20_ACT5_GT1_DIAG,K200,5,EARLY_2016_2019,FLOW,191,-0.00047881186854377785,0.5235602094240838
CF20_ACT5_GT1_DIAG,K200,5,EARLY_2016_2019,MOMENTUM,191,-0.0004973454526420983,0.49214659685863876
CF20_ACT5_GT1_DIAG,K200,5,EARLY_2016_2019,REVISION,191,-0.001763431236188365,0.43455497382198954
CF20_ACT5_GT1_DIAG,K200,5,EARLY_2016_2019,VALUE,191,-0.0007373923947123323,0.4869109947643979
CF20_ACT5_GT1_DIAG,K200,5,LATE_2020_2022,FLOW,149,-0.0005935514400355191,0.436241610738255
CF20_ACT5_GT1_DIAG,K200,5,LATE_2020_2022,MOMENTUM,149,-0.0010293281470784119,0.47651006711409394
CF20_ACT5_GT1_DIAG,K200,5,LATE_2020_2022,REVISION,148,-0.0008201627137441758,0.4864864864864865
CF20_ACT5_GT1_DIAG,K200,5,LATE_2020_2022,VALUE,149,-0.0007582054795149522,0.47651006711409394
CF20_ACT5_GT1_DIAG,K200,5,NORMAL_2023_2024,FLOW,96,-0.0005893631898413785,0.4375
CF20_ACT5_GT1_DIAG,K200,5,NORMAL_2023_2024,MOMENTUM,96,-0.000679452954871736,0.4583333333333333
CF20_ACT5_GT1_DIAG,K200,5,NORMAL_2023_2024,REVISION,95,0.0006291204905163988,0.5157894736842106
CF20_ACT5_GT1_DIAG,K200,5,NORMAL_2023_2024,VALUE,95,-0.002372967372005964,0.42105263157894735
CF20_ACT5_GT1_DIAG,K200,5,YTD_2026,FLOW,27,0.0002105009206012255,0.5555555555555556
CF20_ACT5_GT1_DIAG,K200,5,YTD_2026,MOMENTUM,27,-0.0022713567205228592,0.4074074074074074
CF20_ACT5_GT1_DIAG,K200,5,YTD_2026,REVISION,27,-0.0019188327151196311,0.48148148148148145
CF20_ACT5_GT1_DIAG,K200,5,YTD_2026,VALUE,27,-0.0019721388308740254,0.48148148148148145
CF20_ACT5_GT1_DIAG,K200,10,BULL_2025,FLOW,25,-0.0034976929299772204,0.28
