date,sample,horizon,universe,factor,family,strategy,gross,turnover,mean_act5,act5_gt1_share,base_gross,base_turnover,gross_delta,turnover_delta,net_delta_0,net_delta_30,net_delta_60
2016-02-01,EARLY_2016_2019,5,K200,OP12_REV,REVISION,CF20_ACT5_W10,-0.04915514656656631,1.0,6.5169576747427795,0.65,-0.05366878349354641,0.19999999999999996,0.004513636926980098,0.8,0.004513636926980098,0.0021136369269800985,-0.0002863630730199013
2016-02-01,EARLY_2016_2019,5,K200,OP12_REV,REVISION,CF20_ACT5_GT1_DIAG,-0.04481830351371531,1.0,6.668326507504884,1.0,-0.05366878349354641,0.19999999999999996,0.0088504799798311,0.8,0.0088504799798311,0.0064504799798311,0.0040504799798311
2016-02-01,EARLY_2016_2019,5,K200,OPFY1_REV,REVISION,CF20_ACT5_W10,-0.033753546113413496,1.0,1.0160457069267268,0.35,-0.020130944332617754,0.09999999999999998,-0.013622601780795742,0.9,-0.013622601780795742,-0.016322601780795743,-0.01902260178079574
2016-02-01,EARLY_2016_2019,5,K200,OPFY1_REV,REVISION,CF20_ACT5_GT1_DIAG,-0.032110263065370695,1.0,1.3954614200406366,1.0,-0.020130944332617754,0.09999999999999998,-0.011979318732752941,0.9,-0.011979318732752941,-0.014679318732752942,-0.01737931873275294
2016-02-01,EARLY_2016_2019,5,K200,PBR12MF,VALUE,CF20_ACT5_W10,-0.01854741980579181,1.0,1.0645052598687337,0.5,-0.014436086917573903,0.09999999999999998,-0.004111332888217908,0.9,-0.004111332888217908,-0.006811332888217908,-0.009511332888217908
2016-02-01,EARLY_2016_2019,5,K200,PBR12MF,VALUE,CF20_ACT5_GT1_DIAG,-0.02269199402029623,1.0,1.4824027813599265,1.0,-0.014436086917573903,0.09999999999999998,-0.008255907102722327,0.9,-0.008255907102722327,-0.010955907102722328,-0.013655907102722327
2016-02-01,EARLY_2016_2019,5,K200,PER12MF,VALUE,CF20_ACT5_W10,-0.018024556973193755,1.0,1.218427237591475,0.65,-0.009497806729721309,0.19999999999999996,-0.008526750243472447,0.8,-0.008526750243472447,-0.010926750243472446,-0.013326750243472445
2016-02-01,EARLY_2016_2019,5,K200,PER12MF,VALUE,CF20_ACT5_GT1_DIAG,-0.021426708933032692,1.0,1.4027077253436901,1.0,-0.009497806729721309,0.19999999999999996,-0.011928902203311383,0.8,-0.011928902203311383,-0.014328902203311383,-0.016728902203311382
2016-02-01,EARLY_2016_2019,5,K200,MOM1M,MOMENTUM,CF20_ACT5_W10,-0.0619678170455963,1.0,6.540886585119321,0.7,-0.06762423117138354,0.4,0.00565641412578724,0.6,0.00565641412578724,0.0038564141257872403,0.0020564141257872403
2016-02-01,EARLY_2016_2019,5,K200,MOM1M,MOMENTUM,CF20_ACT5_GT1_DIAG,-0.044633501421419315,1.0,6.710800016084259,1.0,-0.06762423117138354,0.4,0.022990729749964224,0.6,0.022990729749964224,0.021190729749964225,0.019390729749964225
2016-02-01,EARLY_2016_2019,5,K200,MOM12_1,MOMENTUM,CF20_ACT5_W10,-0.05830028303259456,1.0,1.1110952953713096,0.5,-0.07560606571247702,0.09999999999999998,0.01730578267988246,0.9,0.01730578267988246,0.01460578267988246,0.011905782679882461
2016-02-01,EARLY_2016_2019,5,K200,MOM12_1,MOMENTUM,CF20_ACT5_GT1_DIAG,-0.03410787800999834,1.0,1.440543078004799,1.0,-0.07560606571247702,0.09999999999999998,0.041498187702478685,0.9,0.041498187702478685,0.038798187702478684,0.03609818770247868
2016-02-01,EARLY_2016_2019,5,K200,PRIVATE_FLOW,FLOW,CF20_ACT5_W10,-0.039462371944727605,1.0,1.3316353952692301,0.75,-0.04395565223524791,0.44999999999999996,0.0044932802905203045,0.55,0.0044932802905203045,0.0028432802905203045,0.0011932802905203045
2016-02-01,EARLY_2016_2019,5,K200,PRIVATE_FLOW,FLOW,CF20_ACT5_GT1_DIAG,-0.02708823285922931,1.0,1.4703547250587263,1.0,-0.04395565223524791,0.44999999999999996,0.0168674193760186,0.55,0.0168674193760186,0.0152174193760186,0.013567419376018599
2016-02-01,EARLY_2016_2019,5,K200,FOREIGN_FLOW,FLOW,CF20_ACT5_W10,-0.0592061694968045,1.0,1.4562721349853656,0.55,-0.05094361150726875,0.35,-0.008262557989535756,0.65,-0.008262557989535756,-0.010212557989535756,-0.012162557989535756
2016-02-01,EARLY_2016_2019,5,K200,FOREIGN_FLOW,FLOW,CF20_ACT5_GT1_DIAG,-0.03986058466435832,1.0,1.6867319303968205,1.0,-0.05094361150726875,0.35,0.011083026842910425,0.65,0.011083026842910425,0.009133026842910424,0.007183026842910425
2016-02-01,EARLY_2016_2019,5,KOSPI_EX_K200,OP12_REV,REVISION,CF20_ACT5_W10,-0.028456143912720094,1.0,1.184730646104605,0.6,-0.029688003054901095,0.19999999999999996,0.0012318591421810014,0.8,0.0012318591421810014,-0.0011681408578189984,-0.003568140857818998
2016-02-01,EARLY_2016_2019,5,KOSPI_EX_K200,OP12_REV,REVISION,CF20_ACT5_GT1_DIAG,-0.027297319549940184,1.0,1.5290677414720926,1.0,-0.029688003054901095,0.19999999999999996,0.002390683504960911,0.8,0.002390683504960911,-9.316495039088813e-06,-0.0024093164950390886
2016-02-01,EARLY_2016_2019,5,KOSPI_EX_K200,OPFY1_REV,REVISION,CF20_ACT5_W10,-0.03230949010216632,1.0,1.1509477503181238,0.6,-0.03132960062977065,0.09999999999999998,-0.0009798894723956689,0.9,-0.0009798894723956689,-0.003679889472395669,-0.006379889472395669
2016-02-01,EARLY_2016_2019,5,KOSPI_EX_K200,OPFY1_REV,REVISION,CF20_ACT5_GT1_DIAG,-0.029334928001330106,1.0,1.4984771177471365,1.0,-0.03132960062977065,0.09999999999999998,0.0019946726284405455,0.9,0.0019946726284405455,-0.0007053273715594546,-0.0034053273715594547
2016-02-01,EARLY_2016_2019,5,KOSPI_EX_K200,PBR12MF,VALUE,CF20_ACT5_W10,-0.017639517175966363,1.0,1.0991075019007879,0.55,-0.02129145850950161,0.050000000000000044,0.003651941333535247,0.95,0.003651941333535247,0.0008019413335352468,-0.0020480586664647533
2016-02-01,EARLY_2016_2019,5,KOSPI_EX_K200,PBR12MF,VALUE,CF20_ACT5_GT1_DIAG,-0.025799833834210677,1.0,1.3920794540204624,1.0,-0.02129145850950161,0.050000000000000044,-0.004508375324709067,0.95,-0.004508375324709067,-0.007358375324709067,-0.010208375324709067
2016-02-01,EARLY_2016_2019,5,KOSPI_EX_K200,PER12MF,VALUE,CF20_ACT5_W10,-0.03173511759628095,1.0,1.1122653949565744,0.5,-0.030363936478123733,0.09999999999999998,-0.0013711811181572157,0.9,-0.0013711811181572157,-0.004071181118157216,-0.006771181118157216
2016-02-01,EARLY_2016_2019,5,KOSPI_EX_K200,PER12MF,VALUE,CF20_ACT5_GT1_DIAG,-0.02113610377922421,1.0,1.4361231681029325,1.0,-0.030363936478123733,0.09999999999999998,0.009227832698899523,0.9,0.009227832698899523,0.006527832698899523,0.003827832698899523
2016-02-01,EARLY_2016_2019,5,KOSPI_EX_K200,MOM1M,MOMENTUM,CF20_ACT5_W10,-0.031097171533699525,1.0,1.0894415460822091,0.5,-0.031097171533699525,0.4,0.0,0.6,0.0,-0.0018,-0.0036
2016-02-01,EARLY_2016_2019,5,KOSPI_EX_K200,MOM1M,MOMENTUM,CF20_ACT5_GT1_DIAG,-0.02727226300659505,1.0,1.47489206115119,1.0,-0.031097171533699525,0.4,0.0038249085271044765,0.6,0.0038249085271044765,0.0020249085271044766,0.0002249085271044766
2016-02-01,EARLY_2016_2019,5,KOSPI_EX_K200,MOM12_1,MOMENTUM,CF20_ACT5_W10,-0.05685054733935187,1.0,1.0005486473510845,0.4,-0.06056595562976348,0.15000000000000002,0.003715408290411615,0.85,0.003715408290411615,0.0011654082904116146,-0.0013845917095883856
2016-02-01,EARLY_2016_2019,5,KOSPI_EX_K200,MOM12_1,MOMENTUM,CF20_ACT5_GT1_DIAG,-0.027212297402936198,1.0,1.4000034008069255,1.0,-0.06056595562976348,0.15000000000000002,0.03335365822682729,0.85,0.03335365822682729,0.030803658226827287,0.028253658226827287
2016-02-01,EARLY_2016_2019,5,KOSPI_EX_K200,PRIVATE_FLOW,FLOW,CF20_ACT5_W10,-0.043656240538692305,1.0,1.1162516733358185,0.55,-0.04214569826817257,0.25,-0.0015105422705197352,0.75,-0.0015105422705197352,-0.003760542270519735,-0.006010542270519735
2016-02-01,EARLY_2016_2019,5,KOSPI_EX_K200,PRIVATE_FLOW,FLOW,CF20_ACT5_GT1_DIAG,-0.015997872391019692,1.0,1.417998309587139,1.0,-0.04214569826817257,0.25,0.026147825877152878,0.75,0.026147825877152878,0.02389782587715288,0.021647825877152877
