universe,sample,metric,mean,ci025,ci975,p_gt0,n_dates
K200,BULL_2025,portfolio_delta,0.002455605062629791,-0.00011366543184110392,0.005979773164424083,0.96725,25
K200,BULL_2025,replacement_edge,0.014010644910845528,-0.004453206487239576,0.036540154687381476,0.9065,25
K200,EARLY_2016_2019,portfolio_delta,0.00026992969447522567,-0.0002880651586890049,0.0008304991690748641,0.83175,98
K200,EARLY_2016_2019,replacement_edge,0.002857359757028444,-0.0020097865365700258,0.007617096617489211,0.87725,98
K200,LATE_2020_2022,portfolio_delta,-8.292539804349477e-05,-0.0010842992992327813,0.00095243875415893,0.44,75
K200,LATE_2020_2022,replacement_edge,0.000588649954945212,-0.007772909654325153,0.009784055953201701,0.5425,75
K200,NORMAL_2023_2024,portfolio_delta,0.0007412773950016406,-0.00029505014168614685,0.0017840843117612043,0.911,48
K200,NORMAL_2023_2024,replacement_edge,0.007856321319302436,-0.001214843383318898,0.017678479101771,0.94875,48
K200,YTD_2026,portfolio_delta,0.0028009410584178256,0.0009827791431614031,0.004932824415281528,0.99975,13
K200,YTD_2026,replacement_edge,0.020264123136274428,-0.002844631754937647,0.04112140635682203,0.9535,13
KOSDAQ,BULL_2025,portfolio_delta,0.0004437405593891275,-0.0020596932741235624,0.0030395922883303477,0.60775,25
KOSDAQ,BULL_2025,replacement_edge,0.0018729208862775944,-0.008657774065527863,0.013099238306954582,0.60425,25
KOSDAQ,EARLY_2016_2019,portfolio_delta,0.00042511091161576527,-0.00023119713589905122,0.0010758232327600468,0.9025,98
KOSDAQ,EARLY_2016_2019,replacement_edge,0.004474278742964968,-0.001869868590873227,0.010720191504167568,0.912,98
KOSDAQ,LATE_2020_2022,portfolio_delta,0.0006616980117050662,-0.0010603340292257377,0.0024332041476069557,0.7715,75
KOSDAQ,LATE_2020_2022,replacement_edge,0.0002587878222590114,-0.008486437193953788,0.009487914578934055,0.5325,75
KOSDAQ,NORMAL_2023_2024,portfolio_delta,0.0004842006387000282,-0.001512038106222833,0.0024959201594565725,0.68425,48
KOSDAQ,NORMAL_2023_2024,replacement_edge,-0.00012893275848663288,-0.012240971438482599,0.011162805297681318,0.49275,48
KOSDAQ,YTD_2026,portfolio_delta,0.0054127858391999845,-0.003946236271631894,0.014376563693758412,0.8715,13
KOSDAQ,YTD_2026,replacement_edge,0.02939496630864458,0.0028144027796364974,0.05750562285141681,0.98625,13
KOSDAQ_PLUS_KOSPI_EX_K200,BULL_2025,portfolio_delta,0.004439843875482437,-0.0004509588408281833,0.009252263475155354,0.963,25
KOSDAQ_PLUS_KOSPI_EX_K200,BULL_2025,replacement_edge,0.0158376652429933,0.0019162066137033739,0.028655638086507996,0.98675,25
KOSDAQ_PLUS_KOSPI_EX_K200,EARLY_2016_2019,portfolio_delta,0.0009399104005909319,-6.576577660604322e-05,0.001902824781464049,0.9685,98
KOSDAQ_PLUS_KOSPI_EX_K200,EARLY_2016_2019,replacement_edge,0.0035279671355170116,-0.0013287039162261044,0.00842250452094103,0.92125,98
KOSDAQ_PLUS_KOSPI_EX_K200,LATE_2020_2022,portfolio_delta,0.0019007827186809001,-0.0003940485630170399,0.004322266941293123,0.94425,75
KOSDAQ_PLUS_KOSPI_EX_K200,LATE_2020_2022,replacement_edge,0.010595074637827205,0.0035804281128856753,0.017626985575713922,0.99825,75
KOSDAQ_PLUS_KOSPI_EX_K200,NORMAL_2023_2024,portfolio_delta,0.0010762324397387425,-0.001802132216184087,0.0038066502821331324,0.77825,48
KOSDAQ_PLUS_KOSPI_EX_K200,NORMAL_2023_2024,replacement_edge,0.0029593118315519445,-0.006669468722179215,0.012506442074666968,0.73225,48
KOSDAQ_PLUS_KOSPI_EX_K200,YTD_2026,portfolio_delta,0.004979374912152366,-0.004119257673114238,0.012778911919041283,0.86575,13
