universe,sample,family,n_dates,portfolio_delta,replacement_edge,replace_share,positive_date_rate
K200,BULL_2025,FLOW,25,0.004209336073302547,0.025705466265256927,0.117,0.64
K200,BULL_2025,MOMENTUM,25,0.0008369385261829284,0.0020813141701013027,0.15200000000000002,0.48
K200,BULL_2025,REVISION,25,0.0028102552749886623,0.013196528658908682,0.136,0.52
K200,BULL_2025,VALUE,25,0.0019658903760450238,0.015059270549115203,0.12900000000000003,0.6
K200,EARLY_2016_2019,FLOW,98,0.0003607634302412189,0.003228743589959374,0.12678571428571428,0.5408163265306123
K200,EARLY_2016_2019,MOMENTUM,98,0.000319326824669911,0.0017062932080982363,0.14438775510204083,0.5
K200,EARLY_2016_2019,REVISION,98,8.159604625287068e-05,0.003788050376368548,0.1056122448979592,0.45918367346938777
K200,EARLY_2016_2019,VALUE,98,0.0003180324767369018,0.0027063518536876233,0.12908163265306122,0.5
K200,LATE_2020_2022,FLOW,75,-0.0007731785044751408,-0.005802236196667025,0.135,0.4666666666666667
K200,LATE_2020_2022,MOMENTUM,75,-1.7174324793984732e-05,-0.0010980618712382161,0.15033333333333335,0.5333333333333333
K200,LATE_2020_2022,REVISION,75,0.0005225008454313088,0.006685096537384872,0.11766666666666668,0.5333333333333333
K200,LATE_2020_2022,VALUE,75,-6.384960833616217e-05,0.0025698013503012264,0.13166666666666668,0.5066666666666667
K200,NORMAL_2023_2024,FLOW,48,0.0008580252935767345,0.004063490463934355,0.13020833333333334,0.6041666666666666
K200,NORMAL_2023_2024,MOMENTUM,48,-8.106522138312658e-05,0.008703533811362471,0.13593750000000002,0.5625
K200,NORMAL_2023_2024,REVISION,48,0.0018553800170049942,0.018071553254001105,0.11979166666666667,0.5833333333333334
K200,NORMAL_2023_2024,VALUE,48,0.00033276949080796075,0.0005867077479118138,0.12552083333333333,0.5
K200,YTD_2026,FLOW,13,0.003417308198835244,0.023847022360071222,0.11538461538461539,0.6153846153846154
K200,YTD_2026,MOMENTUM,13,0.0013725196742245315,0.019242172389028676,0.13653846153846155,0.6153846153846154
K200,YTD_2026,REVISION,13,0.004916244135503652,0.03462179354705916,0.10576923076923077,0.6923076923076923
K200,YTD_2026,VALUE,13,0.0014976922251078765,0.003345504248938681,0.1346153846153846,0.5384615384615384
KOSDAQ,BULL_2025,FLOW,25,-0.0017658815250466409,-0.004370829641891956,0.20199999999999999,0.48
KOSDAQ,BULL_2025,MOMENTUM,25,0.0022403468076030927,0.0063139631261974975,0.297,0.52
KOSDAQ,BULL_2025,REVISION,25,0.001965004890049723,0.017602717366454863,0.09500000000000001,0.56
KOSDAQ,BULL_2025,VALUE,25,-0.0006645079350496664,-0.012054167305650024,0.109,0.4
KOSDAQ,EARLY_2016_2019,FLOW,98,0.0010940535272014155,0.006972240697696172,0.12678571428571428,0.5102040816326531
KOSDAQ,EARLY_2016_2019,MOMENTUM,98,0.0006959616558971425,0.010205601166131464,0.14464285714285716,0.5408163265306123
KOSDAQ,EARLY_2016_2019,REVISION,98,-0.0005131398233233176,-0.004958761767209562,0.06581632653061224,0.5
KOSDAQ,EARLY_2016_2019,VALUE,98,0.0004235682866878205,0.005678034875241796,0.0864795918367347,0.5612244897959183
KOSDAQ,LATE_2020_2022,FLOW,75,0.0004946939147822635,-0.0049595032772885555,0.201,0.5333333333333333
KOSDAQ,LATE_2020_2022,MOMENTUM,75,-1.4051691370708293e-05,-0.0010984724796810612,0.27466666666666667,0.52
KOSDAQ,LATE_2020_2022,REVISION,75,0.0008808775203351909,-0.0016049743929406328,0.09166666666666666,0.5333333333333333
KOSDAQ,LATE_2020_2022,VALUE,75,0.001285272303073519,0.008698101438946294,0.11966666666666666,0.5733333333333334
KOSDAQ,NORMAL_2023_2024,FLOW,48,-0.0025111346159836638,-0.011226514161109475,0.203125,0.4375
KOSDAQ,NORMAL_2023_2024,MOMENTUM,48,0.00488225555719072,0.020449931708366995,0.29062499999999997,0.6458333333333334
KOSDAQ,NORMAL_2023_2024,REVISION,48,0.000509782193922567,-0.004916161778393068,0.09375,0.5
KOSDAQ,NORMAL_2023_2024,VALUE,48,-0.0009441005803295107,-0.004822986802810977,0.10989583333333335,0.4583333333333333
KOSDAQ,YTD_2026,FLOW,13,0.00275189077237758,0.012613696531419758,0.23846153846153847,0.6153846153846154
KOSDAQ,YTD_2026,MOMENTUM,13,0.008256262868645173,0.01508409717732805,0.3673076923076923,0.6923076923076923
KOSDAQ,YTD_2026,REVISION,13,0.009907310250235633,0.0784004557807325,0.10384615384615384,0.6923076923076923
KOSDAQ,YTD_2026,VALUE,13,0.0007356794655415498,0.011481615745098013,0.12307692307692308,0.6153846153846154
KOSDAQ_PLUS_KOSPI_EX_K200,BULL_2025,FLOW,25,0.0008556565488488605,0.0026021037956550667,0.314,0.52
KOSDAQ_PLUS_KOSPI_EX_K200,BULL_2025,MOMENTUM,25,0.012237505310492098,0.026975253403909227,0.41100000000000003,0.6
KOSDAQ_PLUS_KOSPI_EX_K200,BULL_2025,REVISION,25,0.0014470976913954292,0.014475980714636228,0.2,0.6
KOSDAQ_PLUS_KOSPI_EX_K200,BULL_2025,VALUE,25,0.003219115951193361,0.019297323057772684,0.18500000000000003,0.64
KOSDAQ_PLUS_KOSPI_EX_K200,EARLY_2016_2019,FLOW,98,0.002329225170468639,0.01085613984549342,0.22551020408163266,0.6122448979591837
KOSDAQ_PLUS_KOSPI_EX_K200,EARLY_2016_2019,MOMENTUM,98,0.0010526200542547357,0.0013891443075942451,0.26811224489795915,0.5204081632653061
KOSDAQ_PLUS_KOSPI_EX_K200,EARLY_2016_2019,REVISION,98,-0.00035934116236737925,-0.0030964038105825166,0.1209183673469388,0.5
