universe,sample,n_dates,portfolio_delta,replacement_edge,replace_share,added_return,dropped_return,kept_return,added_primary_rank,dropped_primary_rank,added_other_score,dropped_other_score
K200,BULL_2025,25,0.002455605062629791,0.014010644910845528,0.1335,0.030154125701134273,0.01600444468323849,0.027422386188225966,24.66372619047619,16.225553571428573,0.6842616535576344,0.3479078347436684
K200,EARLY_2016_2019,98,0.00026992969447522567,0.002857359757028444,0.12646683673469392,0.0024882793002879975,-0.0004757177651149707,0.0006339633796136472,24.34543549562682,16.542772108843536,0.685577029210878,0.3481744625663294
K200,LATE_2020_2022,75,-8.292539804349477e-05,0.000588649954945212,0.13366666666666668,0.003938956224971694,0.0033589256202163544,0.00505652772427838,24.511543650793648,16.094775793650793,0.6883999204533395,0.3390939020771644
K200,NORMAL_2023_2024,48,0.0007412773950016406,0.007856321319302436,0.1278645833333333,0.0034306613490895387,-0.004232654366707986,0.0027983967603447935,24.303385416666668,16.12583705357143,0.6770138519280401,0.33709035054249475
K200,YTD_2026,13,0.0028009410584178256,0.020264123136274428,0.12307692307692307,0.02709199408802144,0.006248918217966951,0.015320873807768847,24.70343406593406,16.529910714285712,0.6858121210763558,0.3541334457887525
KOSDAQ,BULL_2025,25,0.0004437405593891275,0.0018729208862775944,0.17574999999999996,0.024125552473849732,0.02247979371350028,0.026871024748952848,26.375248015873023,15.628956349206348,0.6999991577314729,0.3431677327231448
KOSDAQ,EARLY_2016_2019,98,0.00042511091161576527,0.004474278742964968,0.1059311224489796,0.004193416652707491,-0.0005552196491657047,0.0016210142194026398,23.731416524943313,17.004905652737282,0.6977452913649504,0.33943886980184357
KOSDAQ,LATE_2020_2022,75,0.0006616980117050662,0.0002587878222590114,0.17175,0.005009318403021818,0.004889746839535812,0.0034470062068732627,25.892076595031952,15.629375489589771,0.7072723677566134,0.343077660975994
KOSDAQ,NORMAL_2023_2024,48,0.0004842006387000282,-0.00012893275848663288,0.17434895833333333,0.002482894425507276,0.0026901769109588954,0.0023962275924552163,25.909184116354876,15.590232308201058,0.6949873664510644,0.34350393640021837
KOSDAQ,YTD_2026,13,0.0054127858391999845,0.02939496630864458,0.20817307692307693,0.016748298934082043,-0.012646667374562538,-0.006687852551038898,26.798722057856676,14.754919226073074,0.6835026652163759,0.3404253549447405
KOSDAQ_PLUS_KOSPI_EX_K200,BULL_2025,25,0.004439843875482437,0.0158376652429933,0.2775,0.03223371696107907,0.016396051718085766,0.02521860762015867,29.897647838272842,13.706498223998226,0.7131755889907571,0.3456759967639467
KOSDAQ_PLUS_KOSPI_EX_K200,EARLY_2016_2019,98,0.0009399104005909319,0.0035279671355170116,0.19088010204081635,0.001354587496453135,-0.00212937690245763,0.0010887076456964472,26.535060189041605,14.929853374172795,0.7054091599876743,0.34366115789891194
KOSDAQ_PLUS_KOSPI_EX_K200,LATE_2020_2022,75,0.0019007827186809001,0.010595074637827205,0.267,0.00859805799622119,-0.00200444920179826,0.0036625931999675963,29.567380428103643,13.89879273702488,0.718694128444623,0.34975211310883053
KOSDAQ_PLUS_KOSPI_EX_K200,NORMAL_2023_2024,48,0.0010762324397387425,0.0029593118315519445,0.26796875,0.003039373413424308,8.006158187236314e-05,0.002792419558555028,29.646793596305315,13.914654919733044,0.7154066897864529,0.3535291445170423
KOSDAQ_PLUS_KOSPI_EX_K200,YTD_2026,13,0.004979374912152366,0.016931666111443176,0.29519230769230764,0.0008840615491430207,-0.01604760456230016,-0.007864793940792638,30.760871140077864,13.049105515211284,0.7019102940925197,0.3418073364845615
