universe,period,variant,n_dates,avg_base_eligible,avg_filtered_eligible,avg_eligible_retention,avg_top20_overlap,median_top20_overlap,avg_names_replaced,median_names_replaced,filtered_top20_valid_rate
K200,BULL_2025,WEIGHTED_MOM_R1M_GE_P0,242,197.06198347107437,110.63636363636364,0.5614313398355614,18.581589958158997,19.0,1.4184100418410042,1.0,0.987603305785124
K200,EARLY_2017_2019,WEIGHTED_MOM_R1M_GE_P0,733,188.9481582537517,88.51705320600273,0.46829047856428285,18.95682451253482,20.0,1.043175487465181,0.0,0.9795361527967258
K200,LATE_2020_2022,WEIGHTED_MOM_R1M_GE_P0,742,189.74393530997304,90.41239892183289,0.4756736532471665,18.130496453900708,19.0,1.8695035460992908,1.0,0.9501347708894878
K200,NORMAL_2023_2024,WEIGHTED_MOM_R1M_GE_P0,489,196.41922290388547,91.65030674846626,0.4666082327588974,18.63803680981595,19.0,1.361963190184049,1.0,1.0
K200,PRE_STRESS_2017_2024,WEIGHTED_MOM_R1M_GE_P0,1964,191.1089613034623,90.0132382892057,0.4706634130270077,18.57060669456067,19.0,1.4293933054393306,1.0,0.9735234215885947
K200,YTD_2026,WEIGHTED_MOM_R1M_GE_P0,147,198.83673469387756,89.98639455782313,0.4526735926592351,17.37323943661972,19.0,2.6267605633802815,1.0,0.9659863945578231
KOSDAQ,BULL_2025,WEIGHTED_MOM_R1M_GE_P0,242,302.3719008264463,171.24380165289256,0.5642304417529662,18.677685950413224,19.0,1.322314049586777,1.0,1.0
KOSDAQ,EARLY_2017_2019,WEIGHTED_MOM_R1M_GE_P0,733,175.2619372442019,90.88949522510232,0.516925627278323,18.09027777777778,19.0,1.9097222222222223,1.0,0.9822646657571623
KOSDAQ,LATE_2020_2022,WEIGHTED_MOM_R1M_GE_P0,742,294.3423180592992,149.3787061994609,0.5080702834775053,17.80437756497948,18.0,2.19562243502052,2.0,0.9851752021563343
KOSDAQ,NORMAL_2023_2024,WEIGHTED_MOM_R1M_GE_P0,489,297.26993865030676,143.97955010224948,0.47886296799597267,17.883196721311474,19.0,2.1168032786885247,1.0,0.9979550102249489
KOSDAQ,PRE_STRESS_2017_2024,WEIGHTED_MOM_R1M_GE_P0,1964,250.62830957230142,126.20519348268839,0.504090099506011,17.93037648272305,18.0,2.069623517276947,2.0,0.9872708757637475
KOSDAQ,YTD_2026,WEIGHTED_MOM_R1M_GE_P0,147,369.89115646258506,173.12925170068027,0.44714283357666107,16.789115646258505,18.0,3.2108843537414966,2.0,1.0
KOSDAQ_PLUS_KOSPI_EX_K200,BULL_2025,WEIGHTED_MOM_R1M_GE_P0,242,503.31404958677683,285.09090909090907,0.5637942229474774,19.02892561983471,19.0,0.9710743801652892,1.0,1.0
KOSDAQ_PLUS_KOSPI_EX_K200,EARLY_2017_2019,WEIGHTED_MOM_R1M_GE_P0,733,320.0954979536153,161.95634379263302,0.503136186843656,18.263085399449036,19.0,1.7369146005509641,1.0,0.990450204638472
KOSDAQ_PLUS_KOSPI_EX_K200,LATE_2020_2022,WEIGHTED_MOM_R1M_GE_P0,742,493.56469002695417,249.9043126684636,0.5064708883160904,18.133697135061393,19.0,1.8663028649386084,1.0,0.9878706199460916
KOSDAQ_PLUS_KOSPI_EX_K200,NORMAL_2023_2024,WEIGHTED_MOM_R1M_GE_P0,489,496.9509202453988,239.51124744376278,0.4776819127470603,18.243353783231083,19.0,1.756646216768916,1.0,1.0
KOSDAQ_PLUS_KOSPI_EX_K200,PRE_STRESS_2017_2024,WEIGHTED_MOM_R1M_GE_P0,1964,429.6659877800407,214.4928716904277,0.4980532146006953,18.209445585215605,19.0,1.7905544147843941,1.0,0.9918533604887984
KOSDAQ_PLUS_KOSPI_EX_K200,YTD_2026,WEIGHTED_MOM_R1M_GE_P0,147,592.795918367347,271.70068027210885,0.4409925467127564,17.08843537414966,18.0,2.9115646258503403,2.0,1.0
KOSPI_ALL,BULL_2025,WEIGHTED_MOM_R1M_GE_P0,242,398.004132231405,224.48347107438016,0.5613617417195579,18.975206611570247,19.0,1.024793388429752,1.0,1.0
KOSPI_ALL,EARLY_2017_2019,WEIGHTED_MOM_R1M_GE_P0,733,333.7817189631651,159.58390177353343,0.47665488052141547,18.651515151515152,19.0,1.3484848484848484,1.0,0.990450204638472
KOSPI_ALL,LATE_2020_2022,WEIGHTED_MOM_R1M_GE_P0,742,388.966307277628,190.93800539083557,0.4898964937757359,18.193150684931506,19.0,1.8068493150684932,1.0,0.9838274932614556
KOSPI_ALL,NORMAL_2023_2024,WEIGHTED_MOM_R1M_GE_P0,489,396.1002044989775,187.18200408997956,0.4710049446559014,18.466257668711656,19.0,1.5337423312883436,1.0,1.0
KOSPI_ALL,PRE_STRESS_2017_2024,WEIGHTED_MOM_R1M_GE_P0,1964,370.1466395112016,178.300916496945,0.4802545025379646,18.432904884318766,19.0,1.5670951156812338,1.0,0.9903258655804481
KOSPI_ALL,YTD_2026,WEIGHTED_MOM_R1M_GE_P0,147,421.74149659863946,188.5578231292517,0.4402916345182523,17.653061224489797,18.0,2.3469387755102042,2.0,1.0
KOSPI_EX_K200,BULL_2025,WEIGHTED_MOM_R1M_GE_P0,242,200.94214876033058,113.84710743801652,0.561784552802802,18.706611570247933,19.0,1.2933884297520661,1.0,1.0
KOSPI_EX_K200,EARLY_2017_2019,WEIGHTED_MOM_R1M_GE_P0,733,144.83356070941338,71.0668485675307,0.4859516393308845,17.994211287988424,19.0,2.0057887120115776,1.0,0.9427012278308322
KOSPI_EX_K200,LATE_2020_2022,WEIGHTED_MOM_R1M_GE_P0,742,199.222371967655,100.5256064690027,0.5042738765607592,18.061711079943898,19.0,1.9382889200561009,1.0,0.9609164420485176
KOSPI_EX_K200,NORMAL_2023_2024,WEIGHTED_MOM_R1M_GE_P0,489,199.68098159509202,95.5316973415133,0.4750038011683052,18.21311475409836,19.0,1.7868852459016393,1.0,0.9979550102249489
KOSPI_EX_K200,PRE_STRESS_2017_2024,WEIGHTED_MOM_R1M_GE_P0,1964,179.0376782077393,88.2876782077393,0.49015225460257955,18.076109936575055,19.0,1.9238900634249472,1.0,0.9633401221995926
KOSPI_EX_K200,YTD_2026,WEIGHTED_MOM_R1M_GE_P0,147,222.9047619047619,98.57142857142857,0.4288662707370483,17.177304964539008,18.0,2.8226950354609928,2.0,0.9591836734693877
KOSPI_KOSDAQ_ALL,BULL_2025,WEIGHTED_MOM_R1M_GE_P0,242,700.3760330578513,395.72727272727275,0.5626493339773941,19.115702479338843,19.0,0.8842975206611571,1.0,1.0
KOSPI_KOSDAQ_ALL,EARLY_2017_2019,WEIGHTED_MOM_R1M_GE_P0,733,509.043656207367,250.47339699863574,0.490795306071637,18.412087912087912,19.0,1.5879120879120878,1.0,0.9931787175989086
