universe,strategy,period,cost_bp,n_phases,median_delta_cagr,median_delta_excess_cagr,median_delta_sharpe,median_delta_mdd,cagr_better_phases,excess_better_phases,sharpe_better_phases,mdd_better_phases
K200,WEIGHTED_MOM_R1M_GE_P0,BULL_2025,0,10,-0.11099820754373135,-0.06008171837056275,-0.23626980936037378,-0.00820337811456845,2,2,2,2
K200,WEIGHTED_MOM_R1M_GE_P0,BULL_2025,30,10,-0.11289861928332634,-0.06111038365672433,-0.24781040402419696,-0.008405971852737892,2,2,2,1
K200,WEIGHTED_MOM_R1M_GE_P0,BULL_2025,60,10,-0.11538981055589315,-0.06245882932767416,-0.25945403411240087,-0.008525946583708477,2,2,2,1
K200,WEIGHTED_MOM_R1M_GE_P0,EARLY_2017_2019,0,10,0.016621417235681335,0.01617535228978484,0.08734150640764249,0.02516162173986347,7,7,6,9
K200,WEIGHTED_MOM_R1M_GE_P0,EARLY_2017_2019,30,10,0.014162039119181458,0.013782003816102895,0.07124247621845073,0.023101443868975335,6,6,6,9
K200,WEIGHTED_MOM_R1M_GE_P0,EARLY_2017_2019,60,10,0.011854811763212847,0.01153672087778651,0.05518349241213216,0.021699669177497605,6,6,6,9
K200,WEIGHTED_MOM_R1M_GE_P0,LATE_2020_2022,0,10,-0.018256925657481937,-0.018200284622589658,-0.06271938178306403,-0.000322887598926791,4,4,4,5
K200,WEIGHTED_MOM_R1M_GE_P0,LATE_2020_2022,30,10,-0.0199912477345206,-0.019929226067688877,-0.06716083108538881,-0.0006246433739742208,3,3,4,5
K200,WEIGHTED_MOM_R1M_GE_P0,LATE_2020_2022,60,10,-0.021394238485766437,-0.021327864122888895,-0.07165193861112329,-0.00602553351288998,3,3,3,4
K200,WEIGHTED_MOM_R1M_GE_P0,NORMAL_2023_2024,0,10,0.005403541035384929,0.005218665017030111,0.015664370757638504,0.01439660880828858,7,7,6,6
K200,WEIGHTED_MOM_R1M_GE_P0,NORMAL_2023_2024,30,10,0.00192734959751234,0.0018614075204117508,-0.0015319203974611569,0.012751468527599119,5,5,5,6
K200,WEIGHTED_MOM_R1M_GE_P0,NORMAL_2023_2024,60,10,-0.001236841662187571,-0.0011945245297112494,-0.01728867151502867,0.011155813674597614,5,5,4,6
K200,WEIGHTED_MOM_R1M_GE_P0,PRE_STRESS_2017_2024,0,10,0.004870215542142842,0.004776850144205591,0.019590245860452077,0.0006888180223675877,6,6,6,5
K200,WEIGHTED_MOM_R1M_GE_P0,PRE_STRESS_2017_2024,30,10,0.002045112352175693,0.0020045265018751035,0.0062478941991658404,-0.00704251667443867,5,5,5,5
K200,WEIGHTED_MOM_R1M_GE_P0,PRE_STRESS_2017_2024,60,10,-0.0005919849873017302,-0.0005833004073743653,-0.006995419652309626,-0.00752156017472827,5,5,5,5
K200,WEIGHTED_MOM_R1M_GE_P0,YTD_2026,0,10,0.6230245720954852,0.30424434093043007,0.5953696619116199,0.12412431694738102,10,10,10,10
