universe,period,n_events,mean_event_delta_fwd10,median_event_delta_fwd10,positive_event_rate,median_phase_mean_delta_fwd10,phase_win_count,n_phases,worst_phase_mean_delta_fwd10,best_phase_mean_delta_fwd10
K200,PRE_STRESS_2017_2024,1082,0.0036011247464510653,0.003987879747825898,0.5212569316081331,0.0008740296551825455,5,10,-0.009429483768876323,0.019263496149528356
KOSPI_EX_K200,PRE_STRESS_2017_2024,1331,0.000986142864296808,0.0022870682933657793,0.5063861758076634,-0.0012473842070975614,4,10,-0.01255439635672553,0.01690552576346602
KOSPI_ALL,PRE_STRESS_2017_2024,1232,0.0073018023017040875,0.00896815691663777,0.5357142857142857,0.01079444425844515,6,10,-0.012542885801845075,0.01924146547542434
KOSDAQ,PRE_STRESS_2017_2024,1450,0.010239007404938836,0.004547067932484344,0.5144827586206897,0.01257412572044624,9,10,-0.013583831560734758,0.023602300288518934
KOSPI_KOSDAQ_ALL,PRE_STRESS_2017_2024,1337,0.01580912679640566,0.008264767405948614,0.5287958115183246,0.016420917556980243,9,10,-0.025704727356084946,0.03993513596919071
KOSDAQ_PLUS_KOSPI_EX_K200,PRE_STRESS_2017_2024,1374,0.014903296451075708,0.007932493338560323,0.537117903930131,0.016571341035047038,9,10,-0.006089606644156973,0.02963088366146299
K200,EARLY_2017_2019,340,0.005645320478137953,0.0020583992456705558,0.5176470588235295,0.005899786720995269,7,10,-0.02209780530919501,0.026190108649023405
KOSPI_EX_K200,EARLY_2017_2019,479,-0.0035814735642413073,-0.005209446814655405,0.4780793319415449,-0.0036669884646345925,4,10,-0.025213764182653017,0.0162748385409189
KOSPI_ALL,EARLY_2017_2019,424,0.022823790352670764,0.02148977880123254,0.5919811320754716,0.02547544870180537,9,10,-0.005271604041425018,0.0448109486875059
KOSDAQ,EARLY_2017_2019,507,0.010681247140356592,0.0014008123187237616,0.5069033530571992,0.007950150436087877,8,10,-0.0027795434525792473,0.03347840940427415
KOSPI_KOSDAQ_ALL,EARLY_2017_2019,484,0.015520004047466318,0.007906245093550526,0.53099173553719,0.00823173482129202,7,10,-0.018515161402146294,0.045759579379728195
KOSDAQ_PLUS_KOSPI_EX_K200,EARLY_2017_2019,498,0.009214864391397829,0.01184668542777853,0.5582329317269076,0.010487183366951331,8,10,-0.007974750601116978,0.027236823059812603
K200,LATE_2020_2022,435,0.005893289798373883,0.0035094607108576426,0.5172413793103449,0.005777968301645283,8,10,-0.007056101558701691,0.020586742762580858
KOSPI_EX_K200,LATE_2020_2022,499,-0.0030986080693199405,0.003985925761553544,0.5170340681362725,-0.0007532023889555183,5,10,-0.04038931295243988,0.02928889336207687
KOSPI_ALL,LATE_2020_2022,485,-0.0008667527840004858,-0.0008125589018829945,0.49896907216494846,0.0020950988425436318,5,10,-0.027575275574344697,0.017279814562511674
KOSDAQ,LATE_2020_2022,580,0.017411810457678166,0.012456554463839913,0.5258620689655172,0.01992368981331314,7,10,-0.019839791222895028,0.047095303096047175
KOSPI_KOSDAQ_ALL,LATE_2020_2022,537,0.02442020225788481,0.012283161105648643,0.5363128491620112,0.03485896829402338,8,10,-0.03247839813727638,0.049096435486600074
KOSDAQ_PLUS_KOSPI_EX_K200,LATE_2020_2022,550,0.02484727804336864,0.00666323788650619,0.5345454545454545,0.02183436366384551,10,10,0.0037736079173845477,0.05384868564199659
K200,NORMAL_2023_2024,307,-0.0019106613980439402,0.007094503623013115,0.5309446254071661,-0.005958326340782971,4,10,-0.023464477676296117,0.026744389344545358
KOSPI_EX_K200,NORMAL_2023_2024,353,0.012958321292468237,0.008022553926381912,0.5297450424929179,0.013163237405702001,7,10,-0.024620239133642908,0.06164722105565617
KOSPI_ALL,NORMAL_2023_2024,323,-0.0008083330451787381,0.00436145991770942,0.5170278637770898,0.0012683495112110347,5,10,-0.033381105274737595,0.023535319665043224
KOSDAQ,NORMAL_2023_2024,363,-0.0018393433290711141,0.004330256986550707,0.5068870523415978,-0.008426507241857081,4,10,-0.04827313954370278,0.05229855752183158
KOSPI_KOSDAQ_ALL,NORMAL_2023_2024,316,0.0016185821371409012,0.0020381922982044927,0.5126582278481012,0.003911458039896493,5,10,-0.06679383264281898,0.04404433857405434
KOSDAQ_PLUS_KOSPI_EX_K200,NORMAL_2023_2024,326,0.006816331082850169,0.001706934528592885,0.50920245398773,0.0005961487848270748,5,10,-0.04386222894653873,0.07033410754344727
K200,BULL_2025,127,-0.03610450128723557,-0.024835223132777806,0.4015748031496063,-0.025496102879499126,2,10,-0.09122052140612019,0.014493894613823973
KOSPI_EX_K200,BULL_2025,137,-0.0055431849869918195,-0.006142300981550737,0.48905109489051096,-0.007115357185925214,4,10,-0.04297862034210753,0.034943430195938936
KOSPI_ALL,BULL_2025,128,-0.007924606504212691,-0.004814712870954807,0.4921875,-0.004135303192297839,5,10,-0.07503337853958278,0.04897346405069728
KOSDAQ,BULL_2025,152,0.05156871117863336,0.0452600909475282,0.618421052631579,0.05481679455847706,9,10,-0.005622315007058927,0.10123007379252856
KOSPI_KOSDAQ_ALL,BULL_2025,136,0.06380475687494318,0.02241765960635564,0.5588235294117647,0.07350682687717146,10,10,0.0003304329183119352,0.12527714009959517
KOSDAQ_PLUS_KOSPI_EX_K200,BULL_2025,145,0.02890217566559762,0.022445608966468227,0.5379310344827586,0.023339528061034745,7,10,-0.012149740301665482,0.10676588134928412
K200,YTD_2026,79,0.06234929603024274,0.07316358600896655,0.6455696202531646,0.05370373219574128,8,10,-0.014144291623283498,0.1504267664637959
KOSPI_EX_K200,YTD_2026,113,0.033298288319100026,0.029681635716292953,0.6017699115044248,0.040441907980694705,8,10,-0.016396776449939417,0.05826821385107808
KOSPI_ALL,YTD_2026,108,0.05733830142973013,0.05927178996855349,0.6759259259259259,0.059349057424776946,9,10,-0.008923334551025409,0.1556128536858621
KOSDAQ,YTD_2026,100,0.08146604768643523,0.07918559268374761,0.72,0.07724919856308084,10,10,0.03187502732450994,0.16508372866091853
KOSPI_KOSDAQ_ALL,YTD_2026,116,0.08112301059926014,0.07952074153351232,0.7327586206896551,0.07046777360162944,10,10,0.030528904961369095,0.1947113177095771
KOSDAQ_PLUS_KOSPI_EX_K200,YTD_2026,116,0.10526846162341243,0.07003959002438026,0.7413793103448276,0.08511596681750849,10,10,0.05132091619945841,0.28545559525382014
