universe,period,n_valid_dates,replacement_event_rate,avg_replacements_all_valid_dates,n_replacement_events,n_pairs,mean_removed_fwd10,mean_added_fwd10,mean_pair_delta_fwd10,median_pair_delta_fwd10,pair_win_rate,mean_removed_r1m,mean_added_r1m,mean_wmom_sacrifice,mean_removed_rank,mean_added_rank
K200,PRE_STRESS_2017_2024,1912,0.5658995815899581,1.4293933054393306,1082,2733,-0.006371993572630061,-0.004169246120378129,0.0022027474522519313,0.0047285314082763374,0.522136845956824,-0.05656163905596783,0.08305998420061242,-0.12036185895305006,11.547017929015734,23.476033662641786
KOSPI_EX_K200,PRE_STRESS_2017_2024,1892,0.7034883720930233,1.9238900634249472,1331,3640,-0.006775902839226913,-0.005437192321622614,0.0013387105176042985,0.0026268990229084688,0.5085164835164835,-0.08202545004340875,0.11613120682178694,-0.20413259088098565,11.908516483516484,23.515934065934065
KOSPI_ALL,PRE_STRESS_2017_2024,1945,0.6334190231362468,1.5670951156812338,1232,3048,-0.015231610220059982,-0.009021165954883364,0.006210444265176619,0.00295776081773913,0.509514435695538,-0.08500396385725509,0.1522472992016433,-0.2120957725829257,11.375,23.21719160104987
KOSDAQ,PRE_STRESS_2017_2024,1939,0.7478081485301702,2.069623517276947,1450,4013,-0.006513642802016822,-0.0015159049494794343,0.0049977378525373865,0.007785566067028515,0.5215549464241216,-0.10369976930052899,0.19277998420426454,-0.3053488348213197,11.393471218539746,23.63468726638425
KOSPI_KOSDAQ_ALL,PRE_STRESS_2017_2024,1953,0.6845878136200717,1.7076292882744495,1337,3335,-0.012408949066694182,0.0005595800799745863,0.012968529146668767,0.012405881732898805,0.5307346326836582,-0.10688558508055676,0.2578299795551213,-0.3165019484686136,11.35592203898051,23.059970014992505
KOSDAQ_PLUS_KOSPI_EX_K200,PRE_STRESS_2017_2024,1948,0.7053388090349076,1.7905544147843941,1374,3488,-0.01191275689269443,0.0010909207057630528,0.013003677598457481,0.007507528514026529,0.520355504587156,-0.10713605645683648,0.23933728243146704,-0.31931978070435524,11.425172018348624,23.129587155963304
K200,EARLY_2017_2019,718,0.4735376044568245,1.043175487465181,340,749,-0.010912123222108803,-0.0058807693383152865,0.005031353883793519,0.0017554888793884782,0.5166889185580774,-0.035169976601343106,0.06307839473555925,-0.05395750832590163,13.384512683578103,23.76101468624833
KOSPI_EX_K200,EARLY_2017_2019,691,0.6931982633863966,2.0057887120115776,479,1386,-0.0035499810635541804,-0.008948234853555755,-0.005398253790001574,-0.0016914649488067313,0.48917748917748916,-0.06848960348827841,0.08594128029065055,-0.17329464958258858,12.025974025974026,23.99134199134199
KOSPI_ALL,EARLY_2017_2019,726,0.5840220385674931,1.3484848484848484,424,979,-0.014880951790297465,-0.0013914584737876531,0.013489493316509811,0.01385207718619852,0.5403472931562819,-0.0716708449834443,0.11810789485365507,-0.18206177935111972,11.273748723186925,23.247191011235955
KOSDAQ,EARLY_2017_2019,720,0.7041666666666667,1.9097222222222223,507,1375,-0.0030495869406766338,0.006240139602788358,0.009289726543464995,0.00989506729110623,0.5323636363636364,-0.088711131299178,0.13259650329352685,-0.19303733904448453,11.822545454545455,23.728727272727273
KOSPI_KOSDAQ_ALL,EARLY_2017_2019,728,0.6648351648351648,1.5879120879120878,484,1156,-0.00831115131897054,0.004881765887023182,0.013192917205993719,0.01794502160468553,0.5553633217993079,-0.08987756590528997,0.1914266941643163,-0.21911776892127963,11.540657439446367,22.945501730103807
KOSDAQ_PLUS_KOSPI_EX_K200,EARLY_2017_2019,726,0.6859504132231405,1.7369146005509641,498,1261,-0.009211521416375112,0.002583467345026871,0.011794988761401982,0.012590019043950074,0.5360824742268041,-0.09139141433172504,0.17817133882201833,-0.21718904053095392,11.806502775574941,23.107850911974623
K200,LATE_2020_2022,705,0.6170212765957447,1.8695035460992908,435,1318,-0.0055087782591257545,-0.005972003697399449,-0.00046322543827369587,0.00482563529362301,0.5204855842185129,-0.069735542859005,0.09226793479656659,-0.14982249800240469,10.629742033383915,23.74886191198786
