universe,strategy,phase,period,cost_bp,n_days,cagr,mdd,sharpe,benchmark_cagr,excess_cagr,information_ratio,relative_mdd,turnover_x,base_cagr,base_mdd,base_sharpe,base_excess_cagr,delta_cagr,delta_excess_cagr,delta_sharpe,delta_mdd
K200,WEIGHTED_MOM_R1M_GE_M10,0,PRE_STRESS_2017_2024,0,1954,-0.07474649719226611,-0.5587307703286519,-0.22065384236180693,0.017997874163432792,-0.09110468077540279,-0.4646009825128641,-0.5861164307089304,12.219461074929331,-0.06772843866625178,-0.5596108279191625,-0.18010018861101515,-0.08421069926116642,-0.007018058526014337,-0.006893981514236369,-0.040553653750791785,0.0008800575905105745
K200,WEIGHTED_MOM_R1M_GE_M10,0,PRE_STRESS_2017_2024,30,1954,-0.108075771478922,-0.6338082997268168,-0.37940139413220864,0.017997874163432792,-0.12384470423964178,-0.6640750592290553,-0.6710115837440181,12.219461074929331,-0.10030197687821307,-0.620664964214988,-0.3311346621557083,-0.11620834782082556,-0.007773794600708928,-0.007636356418816215,-0.04826673197650033,-0.01314333551182889
K200,WEIGHTED_MOM_R1M_GE_M10,0,PRE_STRESS_2017_2024,60,1954,-0.140253046043757,-0.7092519720306848,-0.5376236307544826,0.017997874163432792,-0.15545309496568072,-0.862003853329618,-0.7385863235155996,12.219461074929331,-0.13178362109678265,-0.6874431447590119,-0.4817446354464101,-0.1471334067208162,-0.008469424946974335,-0.00831968824486451,-0.0558789953080725,-0.02180882727167288
K200,WEIGHTED_MOM_R1M_GE_M10,0,EARLY_2017_2019,0,723,-0.09324248722772732,-0.4084876775210702,-0.4495658982250511,0.021706704930798848,-0.11250703514401517,-0.7112715256133071,-0.3201197950642308,12.489564934912568,-0.09140403787944329,-0.4062841112175407,-0.43697084525474233,-0.11070764463457561,-0.0018384493482840325,-0.001799390509439558,-0.012595052970308773,-0.0022035663035294695
K200,WEIGHTED_MOM_R1M_GE_M10,0,EARLY_2017_2019,30,723,-0.12661450068251223,-0.4437878610124778,-0.6560948950591273,0.021706704930798848,-0.14517004233945707,-0.9504883567187062,-0.3854722790766406,12.489564934912568,-0.12471711549508879,-0.4401503066101804,-0.6422252353742712,-0.1433129681142743,-0.0018973851874234393,-0.0018570742251827754,-0.013869659684856095,-0.003637554402297405
K200,WEIGHTED_MOM_R1M_GE_M10,0,EARLY_2017_2019,60,723,-0.15880775775044242,-0.47703253392341416,-0.8610695815463416,0.021706704930798848,-0.17667933645739065,-1.1866738046109269,-0.4446291562847946,12.489564934912568,-0.15685799689202629,-0.47346497218335104,-0.8459615212961445,-0.17477099931033413,-0.0019497608584161386,-0.0019083371470565158,-0.015108060250197064,-0.0035675617400631188
K200,WEIGHTED_MOM_R1M_GE_M10,0,LATE_2020_2022,0,742,-0.10292134246829343,-0.5330882885433459,-0.28072118942520347,0.0031120961055546292,-0.10570447608548128,-0.5175345216299757,-0.43970195332428497,12.353526830239648,-0.09610648930536114,-0.5155442425031922,-0.23528114080222376,-0.09891076560248513,-0.006814853162932288,-0.0067937104829961514,-0.045440048622979706,-0.017544046040153694
K200,WEIGHTED_MOM_R1M_GE_M10,0,LATE_2020_2022,30,742,-0.13558412434696543,-0.5562875292976854,-0.42198352262761735,0.0031120961055546292,-0.13826592361012058,-0.7071328975881942,-0.4851502916771684,12.353526830239648,-0.12710419542386697,-0.5368480844508143,-0.3638565461808559,-0.12981230316628356,-0.008479928923098456,-0.008453620443837018,-0.05812697644676146,-0.0194394448468711
K200,WEIGHTED_MOM_R1M_GE_M10,0,LATE_2020_2022,60,742,-0.1671060256819059,-0.5791107491671958,-0.5630232118176686,0.0031120961055546292,-0.16969003010561623,-0.8956996181874151,-0.5269757054265528,12.353526830239648,-0.15708237708548323,-0.5572449803951699,-0.49228608393747336,-0.15969747928767875,-0.010023648596422685,-0.009992550817937484,-0.0707371278801952,-0.02186576877202595
K200,WEIGHTED_MOM_R1M_GE_M10,0,NORMAL_2023_2024,0,489,-0.000907803447632971,-0.2525013484416999,0.11858273162141832,0.03542592171588388,-0.035090608030466486,-0.1120168032720573,-0.15892265264732242,11.616676041783856,0.01491838406126389,-0.21922273780560986,0.18342507311644693,-0.019805895549374508,-0.01582618750889686,-0.015284712481091978,-0.06484234149502861,-0.033278610636090056
