universe,period,threshold_pct,n_phases,median_delta_cagr,median_delta_excess_cagr,median_delta_sharpe,median_delta_mdd,cagr_better_phases,excess_better_phases
K200,BULL_2025,-10.0,10,0.0008859887221247,0.0004795728332932,0.0024677556958868,0.0,5,5
K200,BULL_2025,-5.0,10,-0.0367632702473065,-0.0198994244885376,-0.0605411782590221,-0.0018703037061045,1,1
K200,BULL_2025,0.0,10,-0.1128986192833263,-0.0611103836567243,-0.2478104040241969,-0.0084059718527378,2,2
K200,BULL_2025,5.0,10,-0.1174877835410335,-0.0635944316480312,-0.223855551390029,-0.0033972265232004,0,0
K200,BULL_2025,10.0,10,-0.1275988212877788,-0.0690673895973261,-0.2322423648054469,0.0031022206262201,4,4
KOSDAQ,BULL_2025,-10.0,10,0.0093278942703066,0.0066617940598505,0.0105769458918429,0.0003472658678079,7,7
KOSDAQ,BULL_2025,-5.0,10,0.0270306766713245,0.0193047644049716,0.0557671853649628,0.0074781547214951,7,7
KOSDAQ,BULL_2025,0.0,10,0.0488141267572626,0.0348620653541768,0.105031929079735,0.0003173547724705,8,8
KOSDAQ,BULL_2025,5.0,10,0.0422896367813075,0.0302024061314397,0.0749133437595118,0.0216616610307036,7,7
KOSDAQ,BULL_2025,10.0,10,0.038522979114506,0.0275123351526042,0.0777191009043788,0.0251539467271207,6,6
KOSDAQ_PLUS_KOSPI_EX_K200,BULL_2025,-10.0,10,0.0144543123184925,0.0104436668288896,0.0236898410456407,0.0014711044071882,7,7
KOSDAQ_PLUS_KOSPI_EX_K200,BULL_2025,-5.0,10,0.0071542842996902,0.0051691813473216,0.0165470369349233,0.0066853294609769,5,5
KOSDAQ_PLUS_KOSPI_EX_K200,BULL_2025,0.0,10,0.0050674508719247,0.0036613826664322,0.01491417791431,0.0026940352187415,7,7
KOSDAQ_PLUS_KOSPI_EX_K200,BULL_2025,5.0,10,0.0039980982619632,0.0028887438763656,0.025019707400567,0.0074512952443664,5,5
KOSDAQ_PLUS_KOSPI_EX_K200,BULL_2025,10.0,10,0.0487573597437879,0.0352286300033093,0.1054903110840588,-0.0085675373480621,6,6
KOSPI_ALL,BULL_2025,-10.0,10,0.0063503390189726,0.0035224732357388,0.0153601280457761,0.0,6,6
KOSPI_ALL,BULL_2025,-5.0,10,0.0052387397152956,0.0029058795728852,0.0119110939585579,-2.1677138508979787e-05,6,6
KOSPI_ALL,BULL_2025,0.0,10,-0.0183842539903363,-0.0101975725148736,-0.0309199488087035,0.0045623981802391,2,2
KOSPI_ALL,BULL_2025,5.0,10,0.0004598807819393,0.0002550915378179,0.0216537921279643,0.006762109071318,5,5
