Date,Universe,Factor,StockCode,StockName,FactorValue,ValueStatus,SourceRow
"2016-03-25","ALL","OP(FY1_1M_CHG)","A000050","경방","","BLANK","14"
"2016-03-25","ALL","OP(FY1_1M_CHG)","A000070","삼양홀딩스","6.7778229632773E-03","OK","15"
"2016-03-25","ALL","OP(FY1_1M_CHG)","A000080","하이트진로",".387456108487702","OK","16"
"2016-03-25","ALL","OP(FY1_1M_CHG)","A000100","유한양행","-2.69881990764496","OK","17"
"2016-03-25","ALL","OP(FY1_1M_CHG)","A000120","CJ대한통운","5.14138817480702E-02","OK","18"
"2016-03-25","ALL","OP(FY1_1M_CHG)","A000140","하이트진로홀딩스","","BLANK","19"
"2016-03-25","ALL","OP(FY1_1M_CHG)","A000150","두산","-2.39868036126021","OK","20"
"2016-03-25","ALL","OP(FY1_1M_CHG)","A000180","성창기업지주","","BLANK","21"
"2016-03-25","ALL","OP(FY1_1M_CHG)","A000210","DL","3.48834089140514E-02","OK","22"
"2016-03-25","ALL","OP(FY1_1M_CHG)","A000230","일동홀딩스","","BLANK","23"
"2016-03-25","ALL","OP(FY1_1M_CHG)","A000240","한국앤컴퍼니","1.13475919050359","OK","24"
"2016-03-25","ALL","OP(FY1_1M_CHG)","A000270","기아","-1.79509817907029","OK","25"
"2016-03-25","ALL","OP(FY1_1M_CHG)","A000320","노루홀딩스","","BLANK","26"
"2016-03-25","ALL","OP(FY1_1M_CHG)","A000370","한화손해보험","","BLANK","27"
"2016-03-25","ALL","OP(FY1_1M_CHG)","A000390","SP삼화","0","OK","28"
"2016-03-25","ALL","OP(FY1_1M_CHG)","A000400","롯데손해보험","","BLANK","29"
"2016-03-25","ALL","OP(FY1_1M_CHG)","A000430","대원강업","","BLANK","30"
"2016-03-25","ALL","OP(FY1_1M_CHG)","A000480","CR홀딩스","","BLANK","31"
"2016-03-25","ALL","OP(FY1_1M_CHG)","A000540","흥국화재","","BLANK","32"
"2016-03-25","ALL","OP(FY1_1M_CHG)","A000640","동아쏘시오홀딩스","0","OK","33"
"2016-03-25","ALL","OP(FY1_1M_CHG)","A000660","SK하이닉스","-11.1076241462064","OK","34"
"2016-03-25","ALL","OP(FY1_1M_CHG)","A000670","영풍","-4.76190476190494E-02","OK","35"
"2016-03-25","ALL","OP(FY1_1M_CHG)","A000680","LS네트웍스","","BLANK","36"
"2016-03-25","ALL","OP(FY1_1M_CHG)","A000700","유수홀딩스","","BLANK","37"
"2016-03-25","ALL","OP(FY1_1M_CHG)","A000720","현대건설","0","OK","38"
"2016-03-25","ALL","OP(FY1_1M_CHG)","A000810","삼성화재","-5.82741278837725E-02","OK","39"
"2016-03-25","ALL","OP(FY1_1M_CHG)","A000860","강남제비스코","","BLANK","40"
"2016-03-25","ALL","OP(FY1_1M_CHG)","A000880","한화","-2.14342244108336","OK","41"
"2016-03-25","ALL","OP(FY1_1M_CHG)","A000970","한국주철관","","BLANK","42"
"2016-03-25","ALL","OP(FY1_1M_CHG)","A000990","DB하이텍","-.116822429906535","OK","43"
"2016-03-25","ALL","OP(FY1_1M_CHG)","A001040","CJ",".447580396799866","OK","44"
"2016-03-25","ALL","OP(FY1_1M_CHG)","A001060","JW중외제약","","BLANK","45"
"2016-03-25","ALL","OP(FY1_1M_CHG)","A001120","LX인터내셔널","-.336200929496677","OK","46"
"2016-03-25","ALL","OP(FY1_1M_CHG)","A001130","대한제분","","BLANK","47"
"2016-03-25","ALL","OP(FY1_1M_CHG)","A001200","유진투자증권","","BLANK","48"
"2016-03-25","ALL","OP(FY1_1M_CHG)","A001230","동국홀딩스","","BLANK","49"
"2016-03-25","ALL","OP(FY1_1M_CHG)","A001430","세아베스틸지주","-1.40390817681655","OK","50"
"2016-03-25","ALL","OP(FY1_1M_CHG)","A001440","대한전선","","BLANK","51"
"2016-03-25","ALL","OP(FY1_1M_CHG)","A001450","현대해상","1.73018933214675E-02","OK","52"
"2016-03-25","ALL","OP(FY1_1M_CHG)","A001460","BYC","","BLANK","53"
"2016-03-25","ALL","OP(FY1_1M_CHG)","A001500","현대차증권","","BLANK","54"
"2016-03-25","ALL","OP(FY1_1M_CHG)","A001510","SK증권","","BLANK","55"
"2016-03-25","ALL","OP(FY1_1M_CHG)","A001520","동양","","BLANK","56"
"2016-03-25","ALL","OP(FY1_1M_CHG)","A001630","종근당홀딩스","","BLANK","57"
"2016-03-25","ALL","OP(FY1_1M_CHG)","A001680","대상","-1.29200841983015","OK","58"
"2016-03-25","ALL","OP(FY1_1M_CHG)","A001720","신영증권","","BLANK","59"
"2016-03-25","ALL","OP(FY1_1M_CHG)","A001740","SK네트웍스","-.983951089033245","OK","60"
"2016-03-25","ALL","OP(FY1_1M_CHG)","A001780","알루코","-14.2011834319527","OK","61"
"2016-03-25","ALL","OP(FY1_1M_CHG)","A001800","오리온홀딩스","-.689499901500011","OK","62"
"2016-03-25","ALL","OP(FY1_1M_CHG)","A002020","코오롱","","BLANK","63"
"2016-03-25","ALL","OP(FY1_1M_CHG)","A002240","고려제강","","BLANK","64"
"2016-03-25","ALL","OP(FY1_1M_CHG)","A002320","한진","0","OK","65"
"2016-03-25","ALL","OP(FY1_1M_CHG)","A002350","넥센타이어",".779343125080287","OK","66"
"2016-03-25","ALL","OP(FY1_1M_CHG)","A002380","KCC","1.98227962156481","OK","67"
"2016-03-25","ALL","OP(FY1_1M_CHG)","A002390","한독","","BLANK","68"
"2016-03-25","ALL","OP(FY1_1M_CHG)","A002450","삼익악기","","BLANK","69"
"2016-03-25","ALL","OP(FY1_1M_CHG)","A002620","제일파마홀딩스","","BLANK","70"
"2016-03-25","ALL","OP(FY1_1M_CHG)","A002780","진흥기업","","BLANK","71"
"2016-03-25","ALL","OP(FY1_1M_CHG)","A002790","아모레퍼시픽홀딩스",".678549990865669","OK","72"
"2016-03-25","ALL","OP(FY1_1M_CHG)","A002810","삼영무역","-2.77777777777778","OK","73"
"2016-03-25","ALL","OP(FY1_1M_CHG)","A002960","한국쉘석유","","BLANK","74"
"2016-03-25","ALL","OP(FY1_1M_CHG)","A002990","금호건설","","BLANK","75"
"2016-03-25","ALL","OP(FY1_1M_CHG)","A003000","부광약품","","BLANK","76"
"2016-03-25","ALL","OP(FY1_1M_CHG)","A003030","세아제강지주","-16.1646073726131","OK","77"
"2016-03-25","ALL","OP(FY1_1M_CHG)","A003060","에이프로젠바이오로직스","","BLANK","78"
"2016-03-25","ALL","OP(FY1_1M_CHG)","A003090","대웅","0","OK","79"
"2016-03-25","ALL","OP(FY1_1M_CHG)","A003120","일성아이에스","","BLANK","80"
"2016-03-25","ALL","OP(FY1_1M_CHG)","A003200","일신방직","-.361814639576962","OK","81"
"2016-03-25","ALL","OP(FY1_1M_CHG)","A003220","대원제약","0","OK","82"
"2016-03-25","ALL","OP(FY1_1M_CHG)","A003240","태광산업","","BLANK","83"
"2016-03-25","ALL","OP(FY1_1M_CHG)","A003300","한일홀딩스","-2.92344994804295","OK","84"
"2016-03-25","ALL","OP(FY1_1M_CHG)","A003470","유안타증권","","BLANK","85"
"2016-03-25","ALL","OP(FY1_1M_CHG)","A003490","대한항공","7.77950901127482","OK","86"
"2016-03-25","ALL","OP(FY1_1M_CHG)","A003520","영진약품","","BLANK","87"
"2016-03-25","ALL","OP(FY1_1M_CHG)","A003530","한화투자증권","","BLANK","88"
"2016-03-25","ALL","OP(FY1_1M_CHG)","A003540","대신증권","0","OK","89"
"2016-03-25","ALL","OP(FY1_1M_CHG)","A003550","LG",".622083981337493","OK","90"
"2016-03-25","ALL","OP(FY1_1M_CHG)","A003570","SNT다이내믹스","1.31264916467781","OK","91"
"2016-03-25","ALL","OP(FY1_1M_CHG)","A003620","KG모빌리티","0","OK","92"
"2016-03-25","ALL","OP(FY1_1M_CHG)","A003670","포스코퓨처엠","-4.10123966942149","OK","93"
"2016-03-25","ALL","OP(FY1_1M_CHG)","A003690","코리안리","1.50729335494327","OK","94"
"2016-03-25","ALL","OP(FY1_1M_CHG)","A003800","에이스침대","","BLANK","95"
"2016-03-25","ALL","OP(FY1_1M_CHG)","A003850","보령","1.08238123872519","OK","96"
"2016-03-25","ALL","OP(FY1_1M_CHG)","A003920","남양유업","","BLANK","97"
"2016-03-25","ALL","OP(FY1_1M_CHG)","A004000","롯데정밀화학","-6.40065368378047","OK","98"
"2016-03-25","ALL","OP(FY1_1M_CHG)","A004020","현대제철","-.136720015551085","OK","99"
"2016-03-25","ALL","OP(FY1_1M_CHG)","A004150","한솔홀딩스","","BLANK","100"
"2016-03-25","ALL","OP(FY1_1M_CHG)","A004170","신세계","-.265912686391317","OK","101"
"2016-03-25","ALL","OP(FY1_1M_CHG)","A004250","NPC","","BLANK","102"
"2016-03-25","ALL","OP(FY1_1M_CHG)","A004360","세방","","BLANK","103"
"2016-03-25","ALL","OP(FY1_1M_CHG)","A004370","농심","1.02744862756862","OK","104"
"2016-03-25","ALL","OP(FY1_1M_CHG)","A004430","송원산업","10.0235849056604","OK","105"
"2016-03-25","ALL","OP(FY1_1M_CHG)","A004490","세방전지","","BLANK","106"
"2016-03-25","ALL","OP(FY1_1M_CHG)","A004690","삼천리","1.32147395171536","OK","107"
"2016-03-25","ALL","OP(FY1_1M_CHG)","A004700","조광피혁","","BLANK","108"
"2016-03-25","ALL","OP(FY1_1M_CHG)","A004710","한솔테크닉스","1.15127791848952","OK","109"
"2016-03-25","ALL","OP(FY1_1M_CHG)","A004800","효성","1.69658224735677","OK","110"
"2016-03-25","ALL","OP(FY1_1M_CHG)","A004990","롯데지주","1.90111601349598","OK","111"
"2016-03-25","ALL","OP(FY1_1M_CHG)","A005090","SGC에너지","8.27067669172933","OK","112"
"2016-03-25","ALL","OP(FY1_1M_CHG)","A005180","빙그레","2.11031175059951","OK","113"
"2016-03-25","ALL","OP(FY1_1M_CHG)","A005250","녹십자홀딩스","0","OK","114"
"2016-03-25","ALL","OP(FY1_1M_CHG)","A005290","동진쎄미켐","0","OK","115"
"2016-03-25","ALL","OP(FY1_1M_CHG)","A005300","롯데칠성","-.658661692702259","OK","116"
"2016-03-25","ALL","OP(FY1_1M_CHG)","A005380","현대차","-5.89714237451206E-02","OK","117"
"2016-03-25","ALL","OP(FY1_1M_CHG)","A005440","현대지에프홀딩스","-2.68210050818747","OK","118"
"2016-03-25","ALL","OP(FY1_1M_CHG)","A005490","POSCO홀딩스","1.03678730788299","OK","119"
"2016-03-25","ALL","OP(FY1_1M_CHG)","A005500","삼진제약",".205286117526298","OK","120"
"2016-03-25","ALL","OP(FY1_1M_CHG)","A005610","삼립","5.58698727015559","OK","121"
"2016-03-25","ALL","OP(FY1_1M_CHG)","A005690","파미셀","","BLANK","122"
"2016-03-25","ALL","OP(FY1_1M_CHG)","A005720","넥센","","BLANK","123"
"2016-03-25","ALL","OP(FY1_1M_CHG)","A005740","크라운해태홀딩스","-2.38048006347946","OK","124"
"2016-03-25","ALL","OP(FY1_1M_CHG)","A005810","풍산홀딩스","","BLANK","125"
"2016-03-25","ALL","OP(FY1_1M_CHG)","A005830","DB손해보험","-.397499696565118","OK","126"
"2016-03-25","ALL","OP(FY1_1M_CHG)","A005850","에스엘","-4.17459713234362","OK","127"
"2016-03-25","ALL","OP(FY1_1M_CHG)","A005880","대한해운","-6.44640551011622","OK","128"
"2016-03-25","ALL","OP(FY1_1M_CHG)","A005930","삼성전자","-3.27907029218768","OK","129"
"2016-03-25","ALL","OP(FY1_1M_CHG)","A005940","NH투자증권","-3.69151842971059","OK","130"
"2016-03-25","ALL","OP(FY1_1M_CHG)","A005990","매일홀딩스","12.4274661508704","OK","131"
"2016-03-25","ALL","OP(FY1_1M_CHG)","A006040","동원산업","9.38271604938271","OK","132"
"2016-03-25","ALL","OP(FY1_1M_CHG)","A006060","화승인더","","BLANK","133"
"2016-03-25","ALL","OP(FY1_1M_CHG)","A006120","SK디스커버리",".24048663177253","OK","134"
"2016-03-25","ALL","OP(FY1_1M_CHG)","A006260","LS","0","OK","135"
"2016-03-25","ALL","OP(FY1_1M_CHG)","A006280","녹십자","-.227700227700232","OK","136"
"2016-03-25","ALL","OP(FY1_1M_CHG)","A006360","GS건설","-.921358392107298","OK","137"
"2016-03-25","ALL","OP(FY1_1M_CHG)","A006400","삼성SDI","-228.662420382166","OK","138"
"2016-03-25","ALL","OP(FY1_1M_CHG)","A006650","대한유화","1.88487201719003","OK","139"
"2016-03-25","ALL","OP(FY1_1M_CHG)","A006730","서부T&D","","BLANK","140"
"2016-03-25","ALL","OP(FY1_1M_CHG)","A006800","미래에셋증권","-9.39989242629921","OK","141"
"2016-03-25","ALL","OP(FY1_1M_CHG)","A006840","AK홀딩스","-2.86887961306567","OK","142"
"2016-03-25","ALL","OP(FY1_1M_CHG)","A007070","GS리테일","-3.28598130841122","OK","143"
"2016-03-25","ALL","OP(FY1_1M_CHG)","A007160","사조산업","","BLANK","144"
"2016-03-25","ALL","OP(FY1_1M_CHG)","A007210","벽산","0","OK","145"
"2016-03-25","ALL","OP(FY1_1M_CHG)","A007310","오뚜기","-.693112197536979","OK","146"
"2016-03-25","ALL","OP(FY1_1M_CHG)","A007340","DN오토모티브","","BLANK","147"
"2016-03-25","ALL","OP(FY1_1M_CHG)","A007390","네이처셀","","BLANK","148"
"2016-03-25","ALL","OP(FY1_1M_CHG)","A007570","일양약품","","BLANK","149"
"2016-03-25","ALL","OP(FY1_1M_CHG)","A007690","국도화학","11.2211221122112","OK","150"
"2016-03-25","ALL","OP(FY1_1M_CHG)","A007810","코리아써키트","0","OK","151"
"2016-03-25","ALL","OP(FY1_1M_CHG)","A007860","서연","","BLANK","152"
"2016-03-25","ALL","OP(FY1_1M_CHG)","A008060","대덕","-4.23572744014732","OK","153"
"2016-03-25","ALL","OP(FY1_1M_CHG)","A008490","서흥",".663129973474801","OK","154"
"2016-03-25","ALL","OP(FY1_1M_CHG)","A008730","율촌화학","","BLANK","155"
"2016-03-25","ALL","OP(FY1_1M_CHG)","A008770","호텔신라","-18.8077452329467","OK","156"
"2016-03-25","ALL","OP(FY1_1M_CHG)","A008930","한미사이언스","","BLANK","157"
"2016-03-25","ALL","OP(FY1_1M_CHG)","A009150","삼성전기","-.805995895666668","OK","158"
"2016-03-25","ALL","OP(FY1_1M_CHG)","A009240","한샘",".324433570896705","OK","159"
"2016-03-25","ALL","OP(FY1_1M_CHG)","A009290","광동제약","0","OK","160"
"2016-03-25","ALL","OP(FY1_1M_CHG)","A009410","태영건설","","BLANK","161"
"2016-03-25","ALL","OP(FY1_1M_CHG)","A009420","한올바이오파마","","BLANK","162"
"2016-03-25","ALL","OP(FY1_1M_CHG)","A009450","경동나비엔","-2.89473684210527","OK","163"
"2016-03-25","ALL","OP(FY1_1M_CHG)","A009540","HD한국조선해양","-.903714882341583","OK","164"
"2016-03-25","ALL","OP(FY1_1M_CHG)","A009580","무림P&P","-1.24949617089883","OK","165"
"2016-03-25","ALL","OP(FY1_1M_CHG)","A009680","모토닉","","BLANK","166"
"2016-03-25","ALL","OP(FY1_1M_CHG)","A009830","한화솔루션","2.02405165774766","OK","167"
"2016-03-25","ALL","OP(FY1_1M_CHG)","A009970","영원무역홀딩스","0","OK","168"
"2016-03-25","ALL","OP(FY1_1M_CHG)","A010060","OCI홀딩스","12.0254463369588","OK","169"
"2016-03-25","ALL","OP(FY1_1M_CHG)","A010120","LS ELECTRIC",".576831588962892","OK","170"
"2016-03-25","ALL","OP(FY1_1M_CHG)","A010130","고려아연","3.24289899375875","OK","171"
"2016-03-25","ALL","OP(FY1_1M_CHG)","A010140","삼성중공업","-2.93210888816005","OK","172"
"2016-03-25","ALL","OP(FY1_1M_CHG)","A010780","아이에스동서","4.41618088676511E-03","OK","173"
"2016-03-25","ALL","OP(FY1_1M_CHG)","A010950","S-Oil","7.97455809721862","OK","174"
