Date,Universe,Factor,StockCode,StockName,FactorValue,ValueStatus,SourceRow
"2019-05-14","ALL","PBR(12MF)","A000020","동화약품",".867169196228635","OK","14"
"2019-05-14","ALL","PBR(12MF)","A000050","경방","","BLANK","15"
"2019-05-14","ALL","PBR(12MF)","A000070","삼양홀딩스","","BLANK","16"
"2019-05-14","ALL","PBR(12MF)","A000080","하이트진로","1.16379278789514","OK","17"
"2019-05-14","ALL","PBR(12MF)","A000100","유한양행","1.70161912509658","OK","18"
"2019-05-14","ALL","PBR(12MF)","A000120","CJ대한통운","1.07803818599379","OK","19"
"2019-05-14","ALL","PBR(12MF)","A000150","두산",".254932294336054","OK","20"
"2019-05-14","ALL","PBR(12MF)","A000210","DL",".496328127047042","OK","21"
"2019-05-14","ALL","PBR(12MF)","A000240","한국앤컴퍼니",".461217546913195","OK","22"
"2019-05-14","ALL","PBR(12MF)","A000250","삼천당제약","4.07876220523493","OK","23"
"2019-05-14","ALL","PBR(12MF)","A000270","기아",".586359865053007","OK","24"
"2019-05-14","ALL","PBR(12MF)","A000370","한화손해보험",".350844142964051","OK","25"
"2019-05-14","ALL","PBR(12MF)","A000400","롯데손해보험",".561507796529924","OK","26"
"2019-05-14","ALL","PBR(12MF)","A000430","대원강업","","BLANK","27"
"2019-05-14","ALL","PBR(12MF)","A000480","CR홀딩스","","BLANK","28"
"2019-05-14","ALL","PBR(12MF)","A000540","흥국화재","","BLANK","29"
"2019-05-14","ALL","PBR(12MF)","A000640","동아쏘시오홀딩스","","BLANK","30"
"2019-05-14","ALL","PBR(12MF)","A000660","SK하이닉스","1.03831258343899","OK","31"
"2019-05-14","ALL","PBR(12MF)","A000670","영풍","","BLANK","32"
"2019-05-14","ALL","PBR(12MF)","A000680","LS네트웍스","","BLANK","33"
"2019-05-14","ALL","PBR(12MF)","A000720","현대건설",".584510886769815","OK","34"
"2019-05-14","ALL","PBR(12MF)","A000810","삼성화재","1.00198382807444","OK","35"
