"Code","Name","결산월","코스피200 구성종목여부(1:해당, 0:미해당)","상장된 시장","수정주가수익률","시가총액","","이전 시가총액"
"A000020","동화약품","12","0","KOSPI","-5.71","322.61","","342.16"
"A000040","KR모터스","12","0","KOSPI","-2.35","69.58","","71.26"
"A000050","경방","12","1","KOSPI","-3.58","368.74","","382.44"
"A000070","삼양홀딩스","12","1","KOSPI","-4.18","824.74","","860.71"
"A000080","하이트진로","12","1","KOSPI","-2.95","1497.35","","1542.94"
"A000100","유한양행","12","1","KOSPI","-4.12","2557.86","","2667.74"
"A000120","CJ대한통운","12","1","KOSPI","-3.35","2965.6","","3068.26"
"A000140","하이트진로홀딩스","12","0","KOSPI","-1.42","225.11","","228.35"
"A000150","두산","12","1","KOSPI","-3.67","2015.79","","2092.58"
"A000180","성창기업지주","12","0","KOSPI","-3.09","186.24","","192.17"
"A0001A0","덕양에너젠","12","0","외감","","","",""
"A000210","DL","12","1","KOSPI","-2.61","2463.84","","2529.96"
"A000220","유유제약","12","0","KOSPI","-7.76","106.04","","114.95"
"A000230","일동홀딩스","12","0","KOSPI","-2.63","155.26","","159.45"
"A000240","한국앤컴퍼니","12","1","KOSPI","-0.8","1720.87","","1734.83"
"A000250","삼천당제약","12","0","KOSDAQ","-6.35","814.6","","869.86"
"A000270","기아","12","1","KOSPI","-1.88","12687.87","","12931.09"
"A000300","DH오토넥스","12","0","KOSPI","-3.65","62.83","","65.21"
"A000320","노루홀딩스","12","0","KOSPI","-2.33","194.72","","199.37"
"A000370","한화손해보험","12","0","KOSPI","-2.81","967.77","","995.78"
"A000390","SP삼화","12","0","KOSPI","-3.23","182.43","","188.51"
"A000400","롯데손해보험","12","0","KOSPI","-6.37","424.32","","453.2"
"A000430","대원강업","12","0","KOSPI","-7.39","275.9","","297.91"
"A000440","중앙에너비스","12","0","KOSDAQ","0.35","35.99","","35.87"
"A000480","CR홀딩스","12","0","KOSPI","-1.31","331.6","","336"
"A000490","대동","12","0","KOSPI","-5.75","178.91","","189.83"
"A0004V0","엔비알모션","12","0","외감","","","",""
"A000500","가온전선","12","0","KOSPI","-2.49","97.77","","100.26"
