"Code","Name","거래대금(십억원)"
"A000020","동화약품","5.0948919"
"A000040","KR모터스","1.394883228"
"A000050","경방","0.10736085"
"A000070","삼양홀딩스","0.99661"
"A000080","하이트진로","6.74235655"
"A000100","유한양행","21.079462"
"A000120","CJ대한통운","14.6774795"
"A000140","하이트진로홀딩스","0.14846395"
"A000150","두산","2.9227588"
"A000180","성창기업지주","2.897540355"
"A0001A0","덕양에너젠",""
"A000210","DL","12.4394806"
"A000220","유유제약","2.3331725"
"A000230","일동홀딩스","0.04380848"
"A000240","한국앤컴퍼니","2.9810916"
"A000250","삼천당제약","34.1192736"
"A000270","기아","125.7652161"
"A000300","DH오토넥스","0.421965296"
"A000320","노루홀딩스","0.03554076"
"A000370","한화손해보험","0.767823785"
"A000390","SP삼화","0.085250635"
"A000400","롯데손해보험","0.914974355"
"A000430","대원강업","1.032056135"
"A000440","중앙에너비스","0.19056769"
"A000480","CR홀딩스","0.0667018"
"A000490","대동","3.69199191"
"A0004V0","엔비알모션",""
"A000500","가온전선","0.23150055"
"A000520","삼일제약","1.3185412"
"A000540","흥국화재","0.114273235"
"A000590","CS홀딩스","0.1124037"
"A000640","동아쏘시오홀딩스","2.859129"
"A000650","천일고속","0.0390461"
"A000660","SK하이닉스","348.6138766"
"A000670","영풍","0.5358355"
"A000680","LS네트웍스","0.054915805"
"A000700","유수홀딩스","0.15348501"
"A000720","현대건설","25.8699796"
"A000760","이화산업","0.006823"
"A0007C0","아크릴",""
"A0007J0","인벤테라",""
"A000810","삼성화재","20.8103235"
"A000850","화천기공","0.0934523"
"A000860","강남제비스코","0.3727382"
"A000880","한화","9.365846"
"A000890","보해양조","0.488933795"
"A0008Z0","에스엔시스",""
"A000910","유니온","35.74848745"
"A000950","전방","0.1148072"
"A000970","한국주철관","0.21304229"
"A000990","DB하이텍","21.3850574"
"A0009K0","에임드바이오",""
"A001000","신라섬유","1.538741105"
"A001020","페이퍼코리아","0.09124695"
