"Code","Name","ALL","KOSPI","KOSPI200","KOSPI-삼닉"
"A000020","동화약품","1","1","0","1"
"A000040","KR모터스","1","1","0","1"
"A000050","경방","1","1","0","1"
"A000070","삼양홀딩스","1","1","1","1"
"A000080","하이트진로","1","1","1","1"
"A000100","유한양행","1","1","1","1"
"A000120","CJ대한통운","1","1","1","1"
"A000140","하이트진로홀딩스","1","1","0","1"
"A000150","두산","1","1","1","1"
"A000180","성창기업지주","1","1","0","1"
"A0001A0","덕양에너젠","1","0","0","0"
"A000210","DL","1","1","1","1"
"A000220","유유제약","1","1","0","1"
"A000230","일동홀딩스","1","1","0","1"
"A000240","한국앤컴퍼니","1","1","1","1"
"A000250","삼천당제약","1","0","0","0"
"A000270","기아","1","1","1","1"
"A000300","DH오토넥스","1","1","0","1"
"A000320","노루홀딩스","1","1","0","1"
"A000370","한화손해보험","1","1","0","1"
"A000390","SP삼화","1","1","0","1"
"A000400","롯데손해보험","1","1","0","1"
"A000430","대원강업","1","1","0","1"
"A000440","중앙에너비스","1","0","0","0"
"A000480","CR홀딩스","1","1","0","1"
"A000490","대동","1","1","0","1"
"A0004V0","엔비알모션","1","0","0","0"
"A000500","가온전선","1","1","0","1"
"A000520","삼일제약","1","1","0","1"
"A000540","흥국화재","1","1","0","1"
"A000590","CS홀딩스","1","1","0","1"
"A000640","동아쏘시오홀딩스","1","1","0","1"
"A000650","천일고속","1","1","0","1"
"A000660","SK하이닉스","1","1","1","0"
"A000670","영풍","1","1","1","1"
"A000680","LS네트웍스","1","1","0","1"
"A000700","유수홀딩스","1","1","0","1"
"A000720","현대건설","1","1","1","1"
"A000760","이화산업","1","1","0","1"
"A0007C0","아크릴","1","0","0","0"
"A0007J0","인벤테라","1","0","0","0"
"A000810","삼성화재","1","1","1","1"
"A000850","화천기공","1","1","0","1"
"A000860","강남제비스코","1","1","0","1"
"A000880","한화","1","1","1","1"
"A000890","보해양조","1","1","0","1"
"A0008Z0","에스엔시스","1","0","0","0"
"A000910","유니온","1","1","0","1"
"A000950","전방","1","1","0","1"
"A000970","한국주철관","1","1","0","1"
"A000990","DB하이텍","1","1","1","1"
"A0009K0","에임드바이오","1","0","0","0"
"A001000","신라섬유","1","0","0","0"
"A001020","페이퍼코리아","1","1","0","1"
"A001040","CJ","1","1","1","1"
"A001060","JW중외제약","1","1","0","1"
"A001070","대한방직","1","1","0","1"
"A001080","만호제강","1","1","0","1"
"A0010F0","보원케미칼","1","0","0","0"
"A0010V0","제이피아이헬스케어","1","0","0","0"
"A001120","LX인터내셔널","1","1","1","1"
"A001130","대한제분","1","1","0","1"
"A0011A0","액스비스","1","0","0","0"
"A0011T0","채비","1","0","0","0"
"A001200","유진투자증권","1","1","0","1"
"A001210","금호전기","1","1","0","1"
"A001230","동국홀딩스","1","1","1","1"
"A001250","GS글로벌","1","1","0","1"
"A001260","남광토건","1","1","0","1"
"A001270","부국증권","1","1","0","1"
"A001290","상상인증권","1","1","0","1"
"A001340","PKC","1","1","0","1"
"A001360","삼성제약","1","1","0","1"
"A001380","SG글로벌","1","1","0","1"
"A001390","KG케미칼","1","1","0","1"
"A0013V0","삼진식품","1","0","0","0"
"A001420","태원물산","1","1","0","1"
"A001430","세아베스틸지주","1","1","0","1"
"A001440","대한전선","1","1","1","1"
"A001450","현대해상","1","1","1","1"
"A001460","BYC","1","1","0","1"
"A001470","삼부토건","1","1","0","1"
"A001500","현대차증권","1","1","0","1"
"A001510","SK증권","1","1","0","1"
"A001520","동양","1","1","0","1"
"A001530","DI동일","1","1","0","1"
"A001540","안국약품","1","0","0","0"
"A001550","조비","1","1","0","1"
"A001560","제일연마","1","1","0","1"
"A001570","금양","1","1","0","1"
"A0015G0","그린광학","1","0","0","0"
"A0015N0","아로마티카","1","0","0","0"
"A0015S0","페스카로","1","0","0","0"
"A001620","케이비아이동국실업","1","1","0","1"
"A001630","종근당홀딩스","1","1","0","1"
"A001680","대상","1","1","1","1"
"A001720","신영증권","1","1","0","1"
"A001740","SK네트웍스","1","1","1","1"
"A001750","한양증권","1","1","0","1"
"A001770","SHD","1","1","0","1"
"A001780","알루코","1","1","0","1"
"A001790","대한제당","1","1","0","1"
"A0017J0","세미티에스","1","0","0","0"
"A001800","오리온홀딩스","1","1","1","1"
"A001810","무림SP","1","0","0","0"
"A001820","삼화콘덴서","1","1","0","1"
"A001840","이화공영","1","0","0","0"
"A001940","KISCO홀딩스","1","1","0","1"
"A002020","코오롱","1","1","0","1"
"A002030","아세아","1","1","0","1"
"A002070","비비안","1","1","0","1"
"A002100","경농","1","1","0","1"
"A002140","고려산업","1","1","0","1"
"A002150","도화엔지니어링","1","1","0","1"
"A002170","SYTS","1","1","0","1"
"A002200","한국수출포장","1","1","0","1"
"A002210","동성제약","1","1","0","1"
"A002220","한일철강","1","1","0","1"
"A002230","피에스텍","1","0","0","0"
"A002240","고려제강","1","1","0","1"
"A002290","삼일기업공사","1","0","0","0"
"A002310","아세아제지","1","1","0","1"
"A002320","한진","1","1","0","1"
"A002350","넥센타이어","1","1","1","1"
"A002360","SH에너지화학","1","1","0","1"
"A002380","KCC","1","1","1","1"
"A002390","한독","1","1","0","1"
"A002410","범양건영","1","1","0","1"
"A002420","세기상사","1","1","0","1"
"A002450","삼익악기","1","1","0","1"
"A002460","HS화성","1","1","0","1"
"A002600","조흥","1","1","0","1"
"A002620","제일파마홀딩스","1","1","0","1"
"A002630","오리엔트바이오","1","1","0","1"
"A002680","한탑","1","0","0","0"
"A002690","동일제강","1","1","0","1"
"A002700","신일전자","1","1","0","1"
"A002710","TCC스틸","1","1","0","1"
"A002720","국제약품","1","1","0","1"
"A002760","보락","1","1","0","1"
"A002780","진흥기업","1","1","0","1"
"A002790","아모레퍼시픽홀딩스","1","1","1","1"
"A002800","신신제약","1","0","0","0"
"A002810","삼영무역","1","1","0","1"
"A002820","SUN&L","1","1","0","1"
"A002840","미원상사","1","1","0","1"
"A002870","신풍","1","1","0","1"
"A002880","디와이에이","1","1","0","1"
"A002900","TYM","1","1","0","1"
"A002920","유성기업","1","1","0","1"
"A002960","한국쉘석유","1","1","0","1"
"A002990","금호건설","1","1","0","1"
"A003000","부광약품","1","1","1","1"
"A003010","혜인","1","1","0","1"
"A003030","세아제강지주","1","1","0","1"
"A003060","에이프로젠바이오로직스","1","1","0","1"
"A003070","코오롱글로벌","1","1","0","1"
"A003080","SB성보","1","1","0","1"
"A003090","대웅","1","1","1","1"
"A003100","선광","1","0","0","0"
"A003120","일성아이에스","1","1","0","1"
"A003160","디아이","1","1","0","1"
"A003200","일신방직","1","1","0","1"
"A003220","대원제약","1","1","0","1"
"A003230","삼양식품","1","1","0","1"
"A003240","태광산업","1","1","1","1"
"A003280","흥아해운","1","1","0","1"
"A003300","한일홀딩스","1","1","0","1"
"A003310","대주산업","1","0","0","0"
"A003350","한국화장품제조","1","1","0","1"
"A003380","하림지주","1","0","0","0"
"A003460","유화증권","1","1","0","1"
"A003470","유안타증권","1","1","0","1"
"A003480","한진중공업홀딩스","1","1","0","1"
"A003490","대한항공","1","1","1","1"
"A003520","영진약품","1","1","1","1"
"A003530","한화투자증권","1","1","0","1"
"A003540","대신증권","1","1","0","1"
"A003550","LG","1","1","1","1"
"A003570","SNT다이내믹스","1","1","0","1"
"A003580","HLB글로벌","1","1","0","1"
"A003610","방림","1","1","0","1"
"A003620","KG모빌리티","1","1","0","1"
"A003650","미창석유","1","1","0","1"
"A003670","포스코퓨처엠","1","1","1","1"
"A003680","한성기업","1","1","0","1"
"A003690","코리안리","1","1","0","1"
"A003720","삼영","1","1","0","1"
"A003780","진양산업","1","1","0","1"
"A003800","에이스침대","1","0","0","0"
"A003830","대한화섬","1","1","0","1"
"A003850","보령","1","1","1","1"
"A003920","남양유업","1","1","0","1"
"A003960","사조대림","1","1","0","1"
"A004000","롯데정밀화학","1","1","1","1"
"A004020","현대제철","1","1","1","1"
"A004060","SG세계물산","1","1","0","1"
"A004080","신흥","1","1","0","1"
"A004090","한국석유","1","1","0","1"
"A004100","태양금속","1","1","0","1"
"A004140","동방","1","1","0","1"
"A004150","한솔홀딩스","1","1","0","1"
"A004170","신세계","1","1","1","1"
"A004250","NPC","1","1","0","1"
"A004270","남성","1","1","0","1"
"A004310","현대약품","1","1","0","1"
"A004360","세방","1","1","0","1"
"A004370","농심","1","1","1","1"
"A004380","삼익THK","1","1","0","1"
"A004410","서울식품","1","1","0","1"
"A004430","송원산업","1","1","0","1"
"A004440","삼일씨엔에스","1","1","0","1"
"A004450","삼화왕관","1","1","0","1"
"A004490","세방전지","1","1","1","1"
"A004540","깨끗한나라","1","1","0","1"
"A004560","현대비앤지스틸","1","1","0","1"
"A004590","한국가구","1","0","0","0"
"A004650","창해에탄올","1","0","0","0"
"A004690","삼천리","1","1","0","1"
"A004700","조광피혁","1","1","0","1"
"A004710","한솔테크닉스","1","1","0","1"
"A004720","팜젠사이언스","1","1","0","1"
"A004770","써니전자","1","1","0","1"
"A004780","대륙제관","1","0","0","0"
"A004800","효성","1","1","1","1"
"A004830","덕성","1","1","0","1"
"A004840","DRB동일","1","1","0","1"
"A004870","티웨이홀딩스","1","1","0","1"
"A004890","동일산업","1","1","0","1"
"A004910","조광페인트","1","1","0","1"
"A004920","씨아이테크","1","1","0","1"
"A004960","한신공영","1","1","0","1"
"A004970","신라교역","1","1","0","1"
"A004980","성신양회","1","1","0","1"
"A004990","롯데지주","1","1","1","1"
"A005010","휴스틸","1","1","0","1"
"A005030","부산주공","1","1","0","1"
"A005070","코스모신소재","1","1","0","1"
"A005090","SGC에너지","1","1","0","1"
"A005110","한창","1","1","0","1"
"A005160","동국산업","1","0","0","0"
"A005180","빙그레","1","1","0","1"
"A005250","녹십자홀딩스","1","1","1","1"
"A005290","동진쎄미켐","1","0","0","0"
"A005300","롯데칠성","1","1","1","1"
"A005320","온타이드","1","1","0","1"
"A005360","모나미","1","1","0","1"
"A005380","현대차","1","1","1","1"
"A005420","코스모화학","1","1","0","1"
"A005430","한국공항","1","1","0","1"
"A005440","현대지에프홀딩스","1","1","1","1"
"A005490","POSCO홀딩스","1","1","1","1"
"A005500","삼진제약","1","1","0","1"
"A005610","삼립","1","1","0","1"
"A005670","푸드웰","1","0","0","0"
"A005680","삼영전자","1","1","0","1"
"A005690","파미셀","1","1","0","1"
"A005710","대원산업","1","0","0","0"
"A005720","넥센","1","1","0","1"
"A005740","크라운해태홀딩스","1","1","0","1"
"A005750","대림바스","1","1","0","1"
"A005800","신영와코루","1","1","0","1"
"A005810","풍산홀딩스","1","1","0","1"
"A005820","원림","1","1","0","1"
"A005830","DB손해보험","1","1","1","1"
"A005850","에스엘","1","1","1","1"
"A005860","한일사료","1","0","0","0"
"A005870","휴니드","1","1","0","1"
"A005880","대한해운","1","1","0","1"
"A005930","삼성전자","1","1","1","0"
"A005940","NH투자증권","1","1","1","1"
"A005950","이수화학","1","1","0","1"
"A005960","동부건설","1","1","0","1"
"A005990","매일홀딩스","1","0","0","0"
"A006040","동원산업","1","1","1","1"
"A006050","국영지앤엠","1","0","0","0"
"A006060","화승인더","1","1","0","1"
"A006090","사조오양","1","1","0","1"
"A006110","삼아알미늄","1","1","0","1"
"A006120","SK디스커버리","1","1","1","1"
"A006140","피제이전자","1","0","0","0"
"A006200","한국전자홀딩스","1","1","0","1"
"A006220","제주은행","1","1","0","1"
"A006260","LS","1","1","1","1"
"A006280","녹십자","1","1","1","1"
"A006340","대원전선","1","1","0","1"
"A006360","GS건설","1","1","1","1"
"A006370","대구백화점","1","1","0","1"
"A006380","카프로","1","1","0","1"
"A006400","삼성SDI","1","1","1","1"
"A006490","인스코비","1","1","0","1"
"A006570","대림통상","1","1","0","1"
"A006620","동구바이오제약","1","0","0","0"
"A006650","대한유화","1","1","1","1"
"A006660","삼성공조","1","1","0","1"
"A006730","서부T&D","1","0","0","0"
"A006740","블루산업개발","1","1","0","1"
"A006800","미래에셋증권","1","1","1","1"
"A006840","AK홀딩스","1","1","0","1"
"A006880","신송홀딩스","1","1","0","1"
"A006890","태경케미컬","1","1","0","1"
"A006910","보성파워텍","1","0","0","0"
"A006920","모헨즈","1","0","0","0"
"A006980","우성","1","1","0","1"
"A007070","GS리테일","1","1","1","1"
"A007110","일신석재","1","1","0","1"
"A007120","미래아이앤지","1","1","0","1"
"A007160","사조산업","1","1","0","1"
"A007210","벽산","1","1","0","1"
"A007280","한국특강","1","1","0","1"
"A007310","오뚜기","1","1","1","1"
"A007330","푸른저축은행","1","0","0","0"
"A007340","DN오토모티브","1","1","0","1"
"A007370","진양제약","1","0","0","0"
"A007390","네이처셀","1","0","0","0"
"A007460","에이프로젠","1","1","0","1"
"A007530","와이엠","1","0","0","0"
"A007540","샘표","1","1","0","1"
"A007570","일양약품","1","1","0","1"
"A007590","동방아그로","1","1","0","1"
"A007610","선도전기","1","1","0","1"
"A007660","이수페타시스","1","1","0","1"
"A007680","대원","1","0","0","0"
"A007690","국도화학","1","1","0","1"
"A007700","F&F홀딩스","1","1","0","1"
"A007720","소노스퀘어","1","0","0","0"
"A007770","한일화학","1","0","0","0"
"A007810","코리아써키트","1","1","0","1"
"A007820","엠엑스로보틱스","1","0","0","0"
"A007860","서연","1","1","0","1"
"A007980","TP","1","1","0","1"
"A008040","사조동아원","1","1","0","1"
"A008060","대덕","1","1","0","1"
"A008250","이건산업","1","1","0","1"
"A008260","NI스틸","1","1","0","1"
"A008290","원풍물산","1","0","0","0"
"A0082N0","카나프테라퓨틱스","1","0","0","0"
"A008350","남선알미늄","1","1","0","1"
"A008370","원풍","1","0","0","0"
"A008420","문배철강","1","1","0","1"
"A008470","부스타","1","0","0","0"
"A008490","서흥","1","1","0","1"
"A008500","일정실업","1","1","0","1"
"A008600","윌비스","1","1","0","1"
"A008700","아남전자","1","1","0","1"
"A008730","율촌화학","1","1","0","1"
"A008770","호텔신라","1","1","1","1"
"A008830","대동기어","1","0","0","0"
"A008870","금비","1","1","0","1"
"A0088M0","메쥬","1","0","0","0"
"A008930","한미사이언스","1","1","1","1"
"A008970","KBI동양철관","1","1","0","1"
"A009070","KCTC","1","1","0","1"
"A009140","경인전자","1","1","0","1"
"A009150","삼성전기","1","1","1","1"
"A009160","SIMPAC","1","1","0","1"
"A009180","한솔로지스틱스","1","1","0","1"
"A009190","대양금속","1","1","0","1"
"A009200","무림페이퍼","1","1","0","1"
"A009240","한샘","1","1","1","1"
"A009270","신원","1","1","0","1"
"A009290","광동제약","1","1","0","1"
"A009300","삼아제약","1","0","0","0"
"A009310","참엔지니어링","1","1","0","1"
"A009320","아진전자부품","1","1","0","1"
"A009410","태영건설","1","1","0","1"
"A009420","한올바이오파마","1","1","1","1"
"A009440","KC그린홀딩스","1","1","0","1"
"A009450","경동나비엔","1","1","0","1"
"A009460","한창제지","1","1","0","1"
"A009470","삼화전기","1","1","0","1"
"A009520","포스코엠텍","1","0","0","0"
"A009540","HD한국조선해양","1","1","1","1"
"A009580","무림P&P","1","1","0","1"
"A009620","삼보산업","1","0","0","0"
"A009680","모토닉","1","1","0","1"
"A009730","이렘","1","0","0","0"
"A009770","삼정펄프","1","1","0","1"
"A009780","엠에스씨","1","0","0","0"
"A009810","플레이그램","1","1","0","1"
"A009830","한화솔루션","1","1","1","1"
"A009900","명신산업","1","1","1","1"
"A009970","영원무역홀딩스","1","1","0","1"
"A010040","한국내화","1","1","0","1"
"A010060","OCI홀딩스","1","1","1","1"
"A010100","한국무브넥스","1","1","0","1"
"A010120","LS ELECTRIC","1","1","1","1"
"A010130","고려아연","1","1","1","1"
"A010140","삼성중공업","1","1","1","1"
"A010170","대한광통신","1","0","0","0"
"A010240","흥국","1","0","0","0"
"A010280","아이티센엔텍","1","0","0","0"
"A010400","우진아이엔에스","1","1","0","1"
"A010470","오리콤","1","0","0","0"
"A010580","에스엠벡셀","1","1","0","1"
"A010640","진양폴리","1","1","0","1"
"A010660","화천기계","1","1","0","1"
"A010690","화신","1","1","0","1"
"A010770","평화홀딩스","1","1","0","1"
"A010780","아이에스동서","1","1","1","1"
"A010820","퍼스텍","1","1","0","1"
"A010950","S-Oil","1","1","1","1"
"A010960","삼호개발","1","1","0","1"
"A011000","진원생명과학","1","1","0","1"
"A011040","경동제약","1","0","0","0"
"A011070","LG이노텍","1","1","1","1"
"A011080","형지I&C","1","0","0","0"
"A011090","에넥스","1","1","0","1"
"A011150","CJ씨푸드","1","1","0","1"
"A011170","롯데케미칼","1","1","1","1"
"A011200","HMM","1","1","1","1"
"A011210","현대위아","1","1","1","1"
"A011230","삼화전자","1","1","0","1"
"A011280","태림포장","1","1","0","1"
"A011300","우성머티리얼스","1","1","0","1"
"A011320","유니크","1","0","0","0"
"A011330","유니켐","1","1","0","1"
"A011370","서한","1","0","0","0"
"A011390","부산산업","1","1","0","1"
"A011420","갤럭시아에스엠","1","1","0","1"
"A011500","한농화성","1","1","0","1"
"A011560","세보엠이씨","1","0","0","0"
"A011690","와이투솔루션","1","1","0","1"
"A011700","한신기계","1","1","0","1"
"A011760","현대코퍼레이션","1","1","0","1"
"A011780","금호석유화학","1","1","1","1"
"A011790","SKC","1","1","1","1"
"A0117P0","피스피스스튜디오","1","0","0","0"
"A011810","STX","1","1","0","1"
"A011930","신성이엔지","1","1","0","1"
"A012030","DB","1","1","0","1"
"A0120G0","삼양바이오팜","1","0","0","0"
"A012160","영흥","1","1","0","1"
"A012170","아센디오","1","1","0","1"
"A012200","계양전기","1","1","0","1"
"A012210","삼미금속","1","0","0","0"
"A012280","영화금속","1","1","0","1"
"A012320","경동인베스트","1","1","0","1"
"A012330","현대모비스","1","1","1","1"
"A012340","뉴인텍","1","0","0","0"
"A012450","한화에어로스페이스","1","1","1","1"
"A012510","더존비즈온","1","1","0","1"
"A012610","경인양행","1","1","0","1"
"A012620","원일특강","1","0","0","0"
"A012630","HDC","1","1","0","1"
"A012690","모나리자","1","1","0","1"
"A0126Z0","삼성에피스홀딩스","1","0","0","0"
"A012700","리드코프","1","0","0","0"
"A012750","에스원","1","1","1","1"
"A012790","신일제약","1","0","0","0"
"A012800","대창","1","1","0","1"
