Date,Universe,Factor,StockCode,StockName,FactorValue,ValueStatus,SourceRow
"2023-10-10","ALL","단기모멘텀","A000020","동화약품","-1.66","OK","14"
"2023-10-10","ALL","단기모멘텀","A000070","삼양홀딩스","-1.14","OK","15"
"2023-10-10","ALL","단기모멘텀","A000080","하이트진로","2.1","OK","16"
"2023-10-10","ALL","단기모멘텀","A000100","유한양행","4.52","OK","17"
"2023-10-10","ALL","단기모멘텀","A000120","CJ대한통운",".12","OK","18"
"2023-10-10","ALL","단기모멘텀","A000150","두산","-26.63","OK","19"
"2023-10-10","ALL","단기모멘텀","A000210","DL","3.23","OK","20"
"2023-10-10","ALL","단기모멘텀","A000240","한국앤컴퍼니","-2.69","OK","21"
"2023-10-10","ALL","단기모멘텀","A000250","삼천당제약","-21.55","OK","22"
"2023-10-10","ALL","단기모멘텀","A000270","기아","8.1","OK","23"
"2023-10-10","ALL","단기모멘텀","A000370","한화손해보험","7.94","OK","24"
"2023-10-10","ALL","단기모멘텀","A000400","롯데손해보험","55.27","OK","25"
"2023-10-10","ALL","단기모멘텀","A000430","대원강업","-12.9","OK","26"
"2023-10-10","ALL","단기모멘텀","A000490","대동","-20.23","OK","27"
"2023-10-10","ALL","단기모멘텀","A000640","동아쏘시오홀딩스","10.71","OK","28"
"2023-10-10","ALL","단기모멘텀","A000660","SK하이닉스","5.1","OK","29"
"2023-10-10","ALL","단기모멘텀","A000670","영풍","-4.65","OK","30"
"2023-10-10","ALL","단기모멘텀","A000680","LS네트웍스","-16.1","OK","31"
"2023-10-10","ALL","단기모멘텀","A000720","현대건설","-.28","OK","32"
"2023-10-10","ALL","단기모멘텀","A000810","삼성화재","1.35","OK","33"
"2023-10-10","ALL","단기모멘텀","A000880","한화","-5.56","OK","34"
"2023-10-10","ALL","단기모멘텀","A000990","DB하이텍","-3.69","OK","35"
"2023-10-10","ALL","단기모멘텀","A001040","CJ","-4.32","OK","36"
"2023-10-10","ALL","단기모멘텀","A001060","JW중외제약","-16.04","OK","37"
"2023-10-10","ALL","단기모멘텀","A001120","LX인터내셔널","-12.63","OK","38"
"2023-10-10","ALL","단기모멘텀","A001200","유진투자증권","-3.4","OK","39"
"2023-10-10","ALL","단기모멘텀","A001340","PKC","0","OK","40"
"2023-10-10","ALL","단기모멘텀","A001390","KG케미칼","-24.71","OK","41"
"2023-10-10","ALL","단기모멘텀","A001430","세아베스틸지주","-.65","OK","42"
"2023-10-10","ALL","단기모멘텀","A001440","대한전선","-12.39","OK","43"
"2023-10-10","ALL","단기모멘텀","A001450","현대해상","5.16","OK","44"
"2023-10-10","ALL","단기모멘텀","A001470","삼부토건","-21.31","OK","45"
"2023-10-10","ALL","단기모멘텀","A001500","현대차증권","-2.83","OK","46"
"2023-10-10","ALL","단기모멘텀","A001510","SK증권","-6.92","OK","47"
"2023-10-10","ALL","단기모멘텀","A001530","DI동일","17.58","OK","48"
"2023-10-10","ALL","단기모멘텀","A001570","금양","-24.38","OK","49"
"2023-10-10","ALL","단기모멘텀","A001630","종근당홀딩스","3.12","OK","50"
"2023-10-10","ALL","단기모멘텀","A001680","대상","4.4","OK","51"
"2023-10-10","ALL","단기모멘텀","A001720","신영증권",".72","OK","52"
"2023-10-10","ALL","단기모멘텀","A001740","SK네트웍스","-11.64","OK","53"
"2023-10-10","ALL","단기모멘텀","A001780","알루코","-9.51","OK","54"
"2023-10-10","ALL","단기모멘텀","A001790","대한제당","-3.74","OK","55"
"2023-10-10","ALL","단기모멘텀","A001800","오리온홀딩스",".99","OK","56"
"2023-10-10","ALL","단기모멘텀","A001820","삼화콘덴서","-12.9","OK","57"
"2023-10-10","ALL","단기모멘텀","A001940","KISCO홀딩스","12.05","OK","58"
"2023-10-10","ALL","단기모멘텀","A002030","아세아","1.61","OK","59"
"2023-10-10","ALL","단기모멘텀","A002150","도화엔지니어링","-4.52","OK","60"
"2023-10-10","ALL","단기모멘텀","A002240","고려제강","-2.68","OK","61"
"2023-10-10","ALL","단기모멘텀","A002310","아세아제지",".4","OK","62"
"2023-10-10","ALL","단기모멘텀","A002320","한진","-5.74","OK","63"
"2023-10-10","ALL","단기모멘텀","A002350","넥센타이어","-3.47","OK","64"
"2023-10-10","ALL","단기모멘텀","A002380","KCC","6.24","OK","65"
