Date,Universe,Factor,StockCode,StockName,FactorValue,ValueStatus,SourceRow
"2023-06-28","ALL","사모수급","A000020","동화약품","-.239895318406514","OK","14"
"2023-06-28","ALL","사모수급","A000050","경방","0","OK","15"
"2023-06-28","ALL","사모수급","A000070","삼양홀딩스","3.21223218014198E-02","OK","16"
"2023-06-28","ALL","사모수급","A000080","하이트진로","-.206733429403574","OK","17"
"2023-06-28","ALL","사모수급","A000100","유한양행","8.33333333333333E-03","OK","18"
"2023-06-28","ALL","사모수급","A000120","CJ대한통운","7.33218462440884E-02","OK","19"
"2023-06-28","ALL","사모수급","A000150","두산",".011115639705065","OK","20"
"2023-06-28","ALL","사모수급","A000210","DL","-.17324190586844","OK","21"
"2023-06-28","ALL","사모수급","A000240","한국앤컴퍼니","7.40096901059371E-02","OK","22"
"2023-06-28","ALL","사모수급","A000250","삼천당제약","-4.92484410440669E-02","OK","23"
"2023-06-28","ALL","사모수급","A000270","기아","2.50436413909921E-02","OK","24"
"2023-06-28","ALL","사모수급","A000370","한화손해보험","-5.07469957778499E-02","OK","25"
"2023-06-28","ALL","사모수급","A000400","롯데손해보험","-1.9089433998282E-03","OK","26"
"2023-06-28","ALL","사모수급","A000430","대원강업","-8.87836638058597E-02","OK","27"
"2023-06-28","ALL","사모수급","A000480","CR홀딩스","-2.8735632183908E-03","OK","28"
"2023-06-28","ALL","사모수급","A000490","대동",".216373439273553","OK","29"
"2023-06-28","ALL","사모수급","A000640","동아쏘시오홀딩스",".073515897812902","OK","30"
"2023-06-28","ALL","사모수급","A000660","SK하이닉스","-.189086850891332","OK","31"
"2023-06-28","ALL","사모수급","A000670","영풍","-5.1021970060308E-03","OK","32"
"2023-06-28","ALL","사모수급","A000720","현대건설","-.146489315708622","OK","33"
"2023-06-28","ALL","사모수급","A000810","삼성화재",".060959188278367","OK","34"
"2023-06-28","ALL","사모수급","A000880","한화","-3.47074595007332E-03","OK","35"
"2023-06-28","ALL","사모수급","A000990","DB하이텍","-6.15269674895898E-02","OK","36"
"2023-06-28","ALL","사모수급","A001040","CJ","-.582344867774361","OK","37"
"2023-06-28","ALL","사모수급","A001060","JW중외제약","-5.21784503000261E-02","OK","38"
"2023-06-28","ALL","사모수급","A001120","LX인터내셔널",".220532513644917","OK","39"
"2023-06-28","ALL","사모수급","A001200","유진투자증권","0","OK","40"
"2023-06-28","ALL","사모수급","A001340","PKC","-.610179731158435","OK","41"
"2023-06-28","ALL","사모수급","A001390","KG케미칼","0","OK","42"
"2023-06-28","ALL","사모수급","A001430","세아베스틸지주",".195192229490293","OK","43"
"2023-06-28","ALL","사모수급","A001440","대한전선","-1.67059255918074E-03","OK","44"
"2023-06-28","ALL","사모수급","A001450","현대해상","2.50032899065667E-02","OK","45"
"2023-06-28","ALL","사모수급","A001460","BYC","-3.79377062862779E-03","OK","46"
"2023-06-28","ALL","사모수급","A001470","삼부토건","0","OK","47"
"2023-06-28","ALL","사모수급","A001500","현대차증권","-1.77355278093076E-02","OK","48"
"2023-06-28","ALL","사모수급","A001510","SK증권","-3.01850342600139E-03","OK","49"
"2023-06-28","ALL","사모수급","A001530","DI동일","4.22418924367812E-02","OK","50"
"2023-06-28","ALL","사모수급","A001570","금양","-.932941528391195","OK","51"
"2023-06-28","ALL","사모수급","A001680","대상","1.51664518085994E-03","OK","52"
"2023-06-28","ALL","사모수급","A001720","신영증권","-3.83921372902829E-03","OK","53"
"2023-06-28","ALL","사모수급","A001740","SK네트웍스","-2.66467704114261E-03","OK","54"
"2023-06-28","ALL","사모수급","A001780","알루코",".764037543224107","OK","55"
"2023-06-28","ALL","사모수급","A001790","대한제당","-9.66650555824069E-03","OK","56"
"2023-06-28","ALL","사모수급","A001800","오리온홀딩스","-1.45684613623593E-02","OK","57"
"2023-06-28","ALL","사모수급","A001820","삼화콘덴서","4.59136822773186E-02","OK","58"
"2023-06-28","ALL","사모수급","A001940","KISCO홀딩스","-5.47345374931582E-02","OK","59"
