Date,Universe,Factor,StockCode,StockName,FactorValue,ValueStatus,SourceRow
"2017-09-15","ALL","외국인수급","A000020","동화약품",".395922837166203","OK","14"
"2017-09-15","ALL","외국인수급","A000050","경방","-.143429447549335","OK","15"
"2017-09-15","ALL","외국인수급","A000070","삼양홀딩스","-5.93718458706881E-03","OK","16"
"2017-09-15","ALL","외국인수급","A000080","하이트진로",".847832889539655","OK","17"
"2017-09-15","ALL","외국인수급","A000100","유한양행","-.125032120982001","OK","18"
"2017-09-15","ALL","외국인수급","A000120","CJ대한통운","-.159002305922512","OK","19"
"2017-09-15","ALL","외국인수급","A000140","하이트진로홀딩스","-.282184258694326","OK","20"
"2017-09-15","ALL","외국인수급","A000150","두산","-.545675173486026","OK","21"
"2017-09-15","ALL","외국인수급","A000210","DL","-1.18497452304775E-02","OK","22"
"2017-09-15","ALL","외국인수급","A000240","한국앤컴퍼니",".269271329258429","OK","23"
"2017-09-15","ALL","외국인수급","A000250","삼천당제약","-.443568260226713","OK","24"
"2017-09-15","ALL","외국인수급","A000270","기아","-.581696261679014","OK","25"
"2017-09-15","ALL","외국인수급","A000370","한화손해보험",".380501612491589","OK","26"
"2017-09-15","ALL","외국인수급","A000400","롯데손해보험","1.02229644340134","OK","27"
"2017-09-15","ALL","외국인수급","A000480","CR홀딩스","-1.98637911464245E-02","OK","28"
"2017-09-15","ALL","외국인수급","A000540","흥국화재",".14824619457313","OK","29"
"2017-09-15","ALL","외국인수급","A000640","동아쏘시오홀딩스","-4.12121524334488E-02","OK","30"
"2017-09-15","ALL","외국인수급","A000660","SK하이닉스",".251809604593088","OK","31"
"2017-09-15","ALL","외국인수급","A000670","영풍",".10900277422747","OK","32"
"2017-09-15","ALL","외국인수급","A000720","현대건설",".291991428638708","OK","33"
"2017-09-15","ALL","외국인수급","A000810","삼성화재",".172893724808086","OK","34"
"2017-09-15","ALL","외국인수급","A000880","한화",".939635460384538","OK","35"
"2017-09-15","ALL","외국인수급","A000990","DB하이텍","-1.47635432503801","OK","36"
"2017-09-15","ALL","외국인수급","A001040","CJ","-.45419768765025","OK","37"
"2017-09-15","ALL","외국인수급","A001060","JW중외제약","8.35033222393205E-02","OK","38"
"2017-09-15","ALL","외국인수급","A001120","LX인터내셔널","-.608426436936331","OK","39"
"2017-09-15","ALL","외국인수급","A001130","대한제분","-7.86856351504469E-02","OK","40"
"2017-09-15","ALL","외국인수급","A001200","유진투자증권","7.60201909627197E-02","OK","41"
"2017-09-15","ALL","외국인수급","A001230","동국홀딩스","3.01656730517341E-02","OK","42"
"2017-09-15","ALL","외국인수급","A001250","GS글로벌",".916901028624263","OK","43"
"2017-09-15","ALL","외국인수급","A001270","부국증권","8.09746402149509E-02","OK","44"
"2017-09-15","ALL","외국인수급","A001390","KG케미칼","1.53568696032353","OK","45"
"2017-09-15","ALL","외국인수급","A001430","세아베스틸지주",".333464748012353","OK","46"
"2017-09-15","ALL","외국인수급","A001440","대한전선","-3.48532243589185E-02","OK","47"
"2017-09-15","ALL","외국인수급","A001450","현대해상","-.727190670995356","OK","48"
"2017-09-15","ALL","외국인수급","A001500","현대차증권","-3.95641852821231E-02","OK","49"
"2017-09-15","ALL","외국인수급","A001510","SK증권",".773642464917633","OK","50"
"2017-09-15","ALL","외국인수급","A001520","동양","-8.90179003386551E-02","OK","51"
"2017-09-15","ALL","외국인수급","A001630","종근당홀딩스",".555977517849005","OK","52"
"2017-09-15","ALL","외국인수급","A001680","대상","-.57371471478518","OK","53"
"2017-09-15","ALL","외국인수급","A001720","신영증권","5.02896310231146E-02","OK","54"
"2017-09-15","ALL","외국인수급","A001740","SK네트웍스","-.505818356292669","OK","55"
"2017-09-15","ALL","외국인수급","A001780","알루코",".353033472803347","OK","56"
"2017-09-15","ALL","외국인수급","A001800","오리온홀딩스","-.28106664792889","OK","57"
"2017-09-15","ALL","외국인수급","A001820","삼화콘덴서","2.4743625929062","OK","58"
"2017-09-15","ALL","외국인수급","A001940","KISCO홀딩스","5.84325469286393E-02","OK","59"
"2017-09-15","ALL","외국인수급","A002020","코오롱","-.94328606090488","OK","60"
"2017-09-15","ALL","외국인수급","A002030","아세아","","BLANK","61"
"2017-09-15","ALL","외국인수급","A002240","고려제강","-1.30718954248366E-02","OK","62"
"2017-09-15","ALL","외국인수급","A002320","한진",".405383492784174","OK","63"
"2017-09-15","ALL","외국인수급","A002350","넥센타이어","-.848137535816619","OK","64"
"2017-09-15","ALL","외국인수급","A002380","KCC",".457694770188671","OK","65"
"2017-09-15","ALL","외국인수급","A002390","한독","5.52371746185183E-02","OK","66"
"2017-09-15","ALL","외국인수급","A002780","진흥기업","-2.18900494089687E-02","OK","67"
"2017-09-15","ALL","외국인수급","A002790","아모레퍼시픽홀딩스",".485381978264704","OK","68"
"2017-09-15","ALL","외국인수급","A002810","삼영무역","-9.20132499079867E-02","OK","69"
"2017-09-15","ALL","외국인수급","A002960","한국쉘석유","-.280240205890764","OK","70"
"2017-09-15","ALL","외국인수급","A002990","금호건설","-1.50764709083982","OK","71"
"2017-09-15","ALL","외국인수급","A003000","부광약품",".373260943332202","OK","72"
"2017-09-15","ALL","외국인수급","A003030","세아제강지주","-1.20918367346939","OK","73"
"2017-09-15","ALL","외국인수급","A003060","에이프로젠바이오로직스","8.14000814000814E-02","OK","74"
"2017-09-15","ALL","외국인수급","A003090","대웅","-.215990126165661","OK","75"
"2017-09-15","ALL","외국인수급","A003120","일성아이에스","-.109096270086982","OK","76"
"2017-09-15","ALL","외국인수급","A003200","일신방직","-.116959064327485","OK","77"
"2017-09-15","ALL","외국인수급","A003220","대원제약","-.133988387673068","OK","78"
"2017-09-15","ALL","외국인수급","A003230","삼양식품","-2.34671911127648","OK","79"
"2017-09-15","ALL","외국인수급","A003240","태광산업",".188967275314204","OK","80"
"2017-09-15","ALL","외국인수급","A003300","한일홀딩스",".163456441067326","OK","81"
"2017-09-15","ALL","외국인수급","A003380","하림지주",".067842605156038","OK","82"
"2017-09-15","ALL","외국인수급","A003470","유안타증권","2.64079613053872E-02","OK","83"
"2017-09-15","ALL","외국인수급","A003490","대한항공","-.489173993925252","OK","84"
"2017-09-15","ALL","외국인수급","A003520","영진약품",".259576724252198","OK","85"
"2017-09-15","ALL","외국인수급","A003530","한화투자증권","-7.22670708922339E-02","OK","86"
"2017-09-15","ALL","외국인수급","A003540","대신증권","-8.26377985290472E-02","OK","87"
"2017-09-15","ALL","외국인수급","A003550","LG","-.16321584257632","OK","88"
